# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.000000000000e+14       7.558503632220e-26       4.634785000235e-09       2.157545946649e+22       1.389409113207e+04       1.389409113207e-10       1.389409113207e+18       2.675958164813e-09       2.751560535470e+44       2.725992637331e+33       1.362996318666e+34       3.815924191813e-08       1.903443976270e+44       4.655004511904e+44       5.420790768393e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049749e-26       4.667526809499e-09       2.127654528183e+22       1.389409113207e+04       1.399134976999e-10       1.379750857206e+18       2.694689871967e-09       2.675846458098e+44       2.669538980851e+33       1.334769490426e+34       3.815924191813e-08       1.851067333040e+44       4.526913791299e+44       7.562668509263e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322405e-26       4.700268618762e-09       2.098177236192e+22       1.389409113207e+04       1.408928921838e-10       1.370159739033e+18       2.713552701071e-09       2.602215788102e+44       2.614254445405e+33       1.307127222703e+34       3.815924191813e-08       1.800131926217e+44       4.402347714475e+44       1.512533701852e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409260e-26       4.733010428026e-09       2.069108333219e+22       1.389409113207e+04       1.418791424291e-10       1.360635291989e+18       2.732547569978e-09       2.530611196824e+44       2.560114819204e+33       1.280057409602e+34       3.815924191813e-08       1.750598097619e+44       4.281209294597e+44       2.268800552778e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563842e-26       4.765752237290e-09       2.040442161295e+22       1.389409113207e+04       1.428722964261e-10       1.351177052621e+18       2.751675402968e-09       2.460976933110e+44       2.507096391871e+33       1.253548195936e+34       3.815924191813e-08       1.702427280332e+44       4.163404213592e+44       3.025067403703e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338267e-26       4.800313035958e-09       2.012173140840e+22       1.389409113207e+04       1.438724025011e-10       1.341784560696e+18       2.770937130788e-09       2.393258779894e+44       2.455175944057e+33       1.227587972028e+34       3.815924191813e-08       1.655581968676e+44       4.048840748718e+44       3.781334254629e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587439e-26       4.833054845221e-09       1.984295769573e+22       1.389409113207e+04       1.448795093186e-10       1.332457359182e+18       2.790333690704e-09       2.327404011992e+44       2.404330737270e+33       1.202165368635e+34       3.815924191813e-08       1.610025689010e+44       3.937429701147e+44       4.537601105554e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473301e-26       4.867615643889e-09       1.956804621447e+22       1.389409113207e+04       1.458936658838e-10       1.323194994222e+18       2.809866026539e-09       2.263361355047e+44       2.354538503921e+33       1.177269251961e+34       3.815924191813e-08       1.565722971328e+44       3.829084326516e+44       5.293867956479e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469149e-26       4.900357453153e-09       1.929694345586e+22       1.389409113207e+04       1.469149215450e-10       1.313997015116e+18       2.829535088724e-09       2.201080945604e+44       2.305777437567e+33       1.152888718784e+34       3.815924191813e-08       1.522639321645e+44       3.723720267387e+44       6.050134807405e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364004e-26       4.934918251820e-09       1.902959665249e+22       1.389409113207e+04       1.479433259958e-10       1.304862974296e+18       2.849341834345e-09       2.140514292293e+44       2.258026183365e+33       1.129013091682e+34       3.815924191813e-08       1.480741195137e+44       3.621255487566e+44       6.806401658330e-07       1.592850683960e+01 
