# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       9.197326709278e-11       6.414417392207e-15       4.446413859832e-13       0.000000000000e+00 
    3       9.437821871703e-11       1.006791697965e-14       5.155883936434e-13       0.000000000000e+00 
    4       9.428125967617e-11       1.079551007519e-14       5.116436999066e-13       0.000000000000e+00 
    5       9.363136999083e-11       9.054013869931e-15       4.639411829529e-13       0.000000000000e+00 
    6       9.319041838449e-11       6.263012248397e-15       3.960340956500e-13       0.000000000000e+00 
    7       9.314473442695e-11       3.727019583222e-15       3.243245952593e-13       0.000000000000e+00 
    8       9.358127222028e-11       2.075585500784e-15       2.586507625533e-13       0.000000000000e+00 
    9       9.433769551293e-11       1.291036463771e-15       2.046574633205e-13       0.000000000000e+00 
   10       9.541162472560e-11       1.029363868205e-15       1.648827040931e-13       0.000000000000e+00 
   11       9.672012277214e-11       9.446640522317e-16       1.393476740816e-13       0.000000000000e+00 
   12       9.820398397166e-11       8.544295030220e-16       1.263945190138e-13       0.000000000000e+00 
   13       9.982541686178e-11       7.361998973983e-16       1.233628373798e-13       0.000000000000e+00 
   14       1.015738922561e-10       6.387087936210e-16       1.271676451348e-13       0.000000000000e+00 
   15       1.034026076945e-10       5.993389452698e-16       1.348630658296e-13       0.000000000000e+00 
   16       1.052974285959e-10       6.139261097840e-16       1.440527813136e-13       0.000000000000e+00 
   17       1.072470772607e-10       6.526158403928e-16       1.531060175942e-13       0.000000000000e+00 
   18       1.092659009026e-10       6.882526927772e-16       1.611644441422e-13       0.000000000000e+00 
   19       1.113490313519e-10       7.213465595337e-16       1.680617039924e-13       0.000000000000e+00 
   20       1.134401910336e-10       7.631339355565e-16       1.739055834437e-13       0.000000000000e+00 
   21       1.155596808204e-10       8.285737380551e-16       1.791765120769e-13       0.000000000000e+00 
   22       1.177257309926e-10       9.326588464104e-16       1.845359529514e-13       0.000000000000e+00 
   23       1.199317470070e-10       1.074240273554e-15       1.903832359287e-13       0.000000000000e+00 
   24       1.221486111299e-10       1.245740840942e-15       1.969960785981e-13       0.000000000000e+00 
   25       1.243893261752e-10       1.443329061802e-15       2.043692934990e-13       0.000000000000e+00 
   26       1.266655454744e-10       1.664086618219e-15       2.123106412680e-13       0.000000000000e+00 
   27       1.289714857825e-10       1.908107121494e-15       2.203927946795e-13       0.000000000000e+00 
   28       1.312892592346e-10       2.175915257288e-15       2.280662536558e-13       0.000000000000e+00 
   29       1.336272890801e-10       2.466152172412e-15       2.349458365677e-13       0.000000000000e+00 
   30       1.359931516811e-10       2.776306397284e-15       2.406395525464e-13       0.000000000000e+00 
   31       1.383853773194e-10       3.104245665998e-15       2.447599953039e-13       0.000000000000e+00 
   32       1.408062480635e-10       3.452610452029e-15       2.472211303909e-13       0.000000000000e+00 
   33       1.432514261704e-10       3.826149661766e-15       2.480557450559e-13       0.000000000000e+00 
   34       1.457104024992e-10       4.229780065858e-15       2.473498815774e-13       0.000000000000e+00 
   35       1.481840859265e-10       4.665512258523e-15       2.452678711985e-13       0.000000000000e+00 
   36       1.506718168647e-10       5.134471480904e-15       2.420434243983e-13       0.000000000000e+00 
   37       1.531700176888e-10       5.637603418392e-15       2.379068161990e-13       0.000000000000e+00 
   38       1.556861413670e-10       6.175348775264e-15       2.328421864346e-13       0.000000000000e+00 
   39       1.582283913361e-10       6.747837246841e-15       2.267510179749e-13       0.000000000000e+00 
   40       1.608014328432e-10       7.354953051172e-15       2.195151722545e-13       0.000000000000e+00 
   41       1.634063079041e-10       7.996527007198e-15       2.109988428310e-13       0.000000000000e+00 
   42       1.660411915331e-10       8.673028449583e-15       2.010588469041e-13       0.000000000000e+00 
   43       1.687001502601e-10       9.385070213610e-15       1.895351172143e-13       0.000000000000e+00 
   44       1.713724108073e-10       1.013321672802e-14       1.762462501982e-13       0.000000000000e+00 
   45       1.740469036801e-10       1.091798726681e-14       1.610332246191e-13       0.000000000000e+00 
   46       1.767284810472e-10       1.173987266638e-14       1.439091444927e-13       0.000000000000e+00 
   47       1.794258491310e-10       1.259931941757e-14       1.249520970606e-13       0.000000000000e+00 
   48       1.821469131483e-10       1.349672230745e-14       1.042653305367e-13       0.000000000000e+00 
   49       1.848986521435e-10       1.443242228600e-14       8.197857171727e-14       0.000000000000e+00 
   50       1.876861441998e-10       1.540671569356e-14       5.821284471899e-14       0.000000000000e+00 
   51       1.905096205236e-10       1.641988984496e-14       3.296061233579e-14       0.000000000000e+00 
   52       1.933663953666e-10       1.747219341679e-14       6.175377976977e-15       0.000000000000e+00 
   53       1.962514845283e-10       1.856382437012e-14      -2.219504947603e-14       0.000000000000e+00 
   54       1.991574402070e-10       1.969492835181e-14      -5.220895565420e-14       0.000000000000e+00 
   55       2.020770000308e-10       2.086556774213e-14      -8.392266589892e-14       0.000000000000e+00 
   56       2.050121831159e-10       2.207562345561e-14      -1.173631213131e-13       0.000000000000e+00 
   57       2.079671643930e-10       2.332486594515e-14      -1.525491906165e-13       0.000000000000e+00 
   58       2.109456041077e-10       2.461297973587e-14      -1.894995970865e-13       0.000000000000e+00 
   59       2.139505923151e-10       2.593956068275e-14      -2.282329891351e-13       0.000000000000e+00 
   60       2.169845933737e-10       2.730411322832e-14      -2.687680108860e-13       0.000000000000e+00 
   61       2.200495058186e-10       2.870612976349e-14      -3.111202852361e-13       0.000000000000e+00 
   62       2.231469832528e-10       3.014535573007e-14      -3.552924120436e-13       0.000000000000e+00 
   63       2.262780873156e-10       3.162157942786e-14      -4.012818399490e-13       0.000000000000e+00 
   64       2.294431278419e-10       3.313455502777e-14      -4.490837289427e-13       0.000000000000e+00 
   65       2.326416110180e-10       3.468400243460e-14      -4.986909229768e-13       0.000000000000e+00 
   66       2.358721875365e-10       3.626960714973e-14      -5.500939225784e-13       0.000000000000e+00 
   67       2.391326007518e-10       3.789102013393e-14      -6.032808574620e-13       0.000000000000e+00 
   68       2.424205974286e-10       3.954775110700e-14      -6.582347631902e-13       0.000000000000e+00 
   69       2.457369901697e-10       4.123882364777e-14      -7.149248315881e-13       0.000000000000e+00 
   70       2.490831252316e-10       4.296304964062e-14      -7.733133300868e-13       0.000000000000e+00 
   71       2.524599480978e-10       4.471912684374e-14      -8.333580462004e-13       0.000000000000e+00 
   72       2.558679762520e-10       4.650563602649e-14      -8.950121911881e-13       0.000000000000e+00 
   73       2.593072719531e-10       4.832103810673e-14      -9.582243037171e-13       0.000000000000e+00 
   74       2.627774150083e-10       5.016367128817e-14      -1.022938153525e-12       0.000000000000e+00 
   75       2.662774755480e-10       5.203174819773e-14      -1.089092645081e-12       0.000000000000e+00 
   76       2.698065672681e-10       5.392352001106e-14      -1.156631772346e-12       0.000000000000e+00 
   77       2.733656838156e-10       5.583780970995e-14      -1.225536791735e-12       0.000000000000e+00 
   78       2.769561493687e-10       5.777357131787e-14      -1.295799768281e-12       0.000000000000e+00 
   79       2.805790528007e-10       5.972973209106e-14      -1.367414153007e-12       0.000000000000e+00 
   80       2.842352323570e-10       6.170519308007e-14      -1.440374892695e-12       0.000000000000e+00 
   81       2.879252603319e-10       6.369882969136e-14      -1.514678539655e-12       0.000000000000e+00 
   82       2.916494277459e-10       6.570949224886e-14      -1.590323361490e-12       0.000000000000e+00 
   83       2.954077290227e-10       6.773600655555e-14      -1.667309450869e-12       0.000000000000e+00 
