#scalar perturbations for mode k = 1.500000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       4.707936768596e+00       1.024822097718e-05      -1.210648389707e+00       3.172171018540e-04       2.390249589312e-08       5.975623973281e-08       3.800071668615e-14       1.195124794656e-08      -9.079862922803e-01       3.172171018540e-04       6.011653040851e-01       6.975872464929e-01      -1.210648389707e+00       3.171455271281e-04       1.994751357628e-04      -9.079862922803e-01       3.173619507383e-04 
       4.707936777248e+00       1.024822099618e-05      -1.210648389727e+00       3.172171024352e-04       2.390249602554e-08       5.975624006384e-08       3.800071703757e-14       1.195124801277e-08      -9.079862922955e-01       3.172171024352e-04       6.011653040848e-01       6.975872464888e-01      -1.210648389727e+00       3.171455277089e-04       1.994751364945e-04      -9.079862922955e-01       3.173619513202e-04 
       4.707936785900e+00       1.024822101518e-05      -1.210648389748e+00       3.172171030163e-04       2.390249615795e-08       5.975624039487e-08       3.800071738899e-14       1.195124807897e-08      -9.079862923107e-01       3.172171030163e-04       6.011653040845e-01       6.975872464846e-01      -1.210648389748e+00       3.171455282896e-04       1.994751372261e-04      -9.079862923107e-01       3.173619519021e-04 
       4.707936823651e+00       1.024822109808e-05      -1.210648389836e+00       3.172171055518e-04       2.390249673566e-08       5.975624183916e-08       3.800071892226e-14       1.195124836783e-08      -9.079862923771e-01       3.172171055518e-04       6.011653040832e-01       6.975872464665e-01      -1.210648389836e+00       3.171455308234e-04       1.994751404184e-04      -9.079862923771e-01       3.173619544411e-04 
       4.707936861401e+00       1.024822118098e-05      -1.210648389925e+00       3.172171080873e-04       2.390249731338e-08       5.975624328345e-08       3.800072045553e-14       1.195124865669e-08      -9.079862924434e-01       3.172171080873e-04       6.011653040818e-01       6.975872464484e-01      -1.210648389925e+00       3.171455333571e-04       1.994751436107e-04      -9.079862924434e-01       3.173619569800e-04 
       4.707936899152e+00       1.024822126388e-05      -1.210648390013e+00       3.172171106228e-04       2.390249789109e-08       5.975624472774e-08       3.800072198881e-14       1.195124894555e-08      -9.079862925097e-01       3.172171106228e-04       6.011653040805e-01       6.975872464303e-01      -1.210648390013e+00       3.171455358909e-04       1.994751468031e-04      -9.079862925098e-01       3.173619595190e-04 
       4.707936936902e+00       1.024822134679e-05      -1.210648390101e+00       3.172171131582e-04       2.390249846881e-08       5.975624617202e-08       3.800072352208e-14       1.195124923440e-08      -9.079862925761e-01       3.172171131582e-04       6.011653040791e-01       6.975872464121e-01      -1.210648390101e+00       3.171455384246e-04       1.994751499954e-04      -9.079862925761e-01       3.173619620579e-04 
       4.707937086458e+00       1.024822167522e-05      -1.210648390452e+00       3.172171232030e-04       2.390250075754e-08       5.975625189384e-08       3.800072959642e-14       1.195125037877e-08      -9.079862928389e-01       3.172171232030e-04       6.011653040737e-01       6.975872463403e-01      -1.210648390452e+00       3.171455484626e-04       1.994751626423e-04      -9.079862928390e-01       3.173619721165e-04 
       4.707937236014e+00       1.024822200365e-05      -1.210648390802e+00       3.172171332478e-04       2.390250304626e-08       5.975625761566e-08       3.800073567075e-14       1.195125152313e-08      -9.079862931018e-01       3.172171332478e-04       6.011653040684e-01       6.975872462685e-01      -1.210648390802e+00       3.171455585005e-04       1.994751752891e-04      -9.079862931018e-01       3.173619821750e-04 
       4.707937385570e+00       1.024822233208e-05      -1.210648391153e+00       3.172171432926e-04       2.390250533499e-08       5.975626333748e-08       3.800074174509e-14       1.195125266750e-08      -9.079862933646e-01       3.172171432926e-04       6.011653040630e-01       6.975872461967e-01      -1.210648391153e+00       3.171455685384e-04       1.994751879360e-04      -9.079862933647e-01       3.173619922335e-04 
       4.707937535126e+00       1.024822266051e-05      -1.210648391503e+00       3.172171533374e-04       2.390250762372e-08       5.975626905929e-08       3.800074781943e-14       1.195125381186e-08      -9.079862936274e-01       3.172171533374e-04       6.011653040576e-01       6.975872461250e-01      -1.210648391503e+00       3.171455785764e-04       1.994752005829e-04      -9.079862936275e-01       3.173620022921e-04 
       4.707939030684e+00       1.024822594483e-05      -1.210648395008e+00       3.172172537853e-04       2.390253051100e-08       5.975632627749e-08       3.800080856288e-14       1.195126525550e-08      -9.079862962557e-01       3.172172537853e-04       6.011653040039e-01       6.975872454070e-01      -1.210648395007e+00       3.171456789557e-04       1.994753270520e-04      -9.079862962561e-01       3.173621028774e-04 
       4.707940526242e+00       1.024822922914e-05      -1.210648398512e+00       3.172173542332e-04       2.390255339829e-08       5.975638349572e-08       3.800086930640e-14       1.195127669914e-08      -9.079862988840e-01       3.172173542332e-04       6.011653039502e-01       6.975872446890e-01      -1.210648398512e+00       3.171457793351e-04       1.994754535210e-04      -9.079862988846e-01       3.173622034627e-04 
       4.707942021800e+00       1.024823251346e-05      -1.210648402016e+00       3.172174546810e-04       2.390257628560e-08       5.975644071399e-08       3.800093005000e-14       1.195128814280e-08      -9.079863015123e-01       3.172174546810e-04       6.011653038966e-01       6.975872439711e-01      -1.210648402016e+00       3.171458797145e-04       1.994755799901e-04      -9.079863015131e-01       3.173623040481e-04 
       4.707943517358e+00       1.024823579778e-05      -1.210648405521e+00       3.172175551289e-04       2.390259917292e-08       5.975649793230e-08       3.800099079368e-14       1.195129958646e-08      -9.079863041407e-01       3.172175551289e-04       6.011653038429e-01       6.975872432531e-01      -1.210648405520e+00       3.171459800938e-04       1.994757064592e-04      -9.079863041416e-01       3.173624046334e-04 
       4.707958472937e+00       1.024826864094e-05      -1.210648440565e+00       3.172185596077e-04       2.390282804695e-08       5.975707011737e-08       3.800159823476e-14       1.195141402347e-08      -9.079863304237e-01       3.172185596077e-04       6.011653033060e-01       6.975872360735e-01      -1.210648440563e+00       3.171469838875e-04       1.994769711527e-04      -9.079863304269e-01       3.173634104868e-04 
       4.707973428517e+00       1.024830148410e-05      -1.210648475609e+00       3.172195640865e-04       2.390305692244e-08       5.975764230611e-08       3.800220568363e-14       1.195152846122e-08      -9.079863567068e-01       3.172195640865e-04       6.011653027691e-01       6.975872288938e-01      -1.210648475606e+00       3.171479876811e-04       1.994782358502e-04      -9.079863567122e-01       3.173644163401e-04 
       4.707988384097e+00       1.024833432727e-05      -1.210648510653e+00       3.172205685652e-04       2.390328579941e-08       5.975821449852e-08       3.800281314029e-14       1.195164289970e-08      -9.079863829899e-01       3.172205685652e-04       6.011653022322e-01       6.975872217142e-01      -1.210648510648e+00       3.171489914747e-04       1.994795005517e-04      -9.079863829974e-01       3.173654221934e-04 
       4.708003339676e+00       1.024836717044e-05      -1.210648545697e+00       3.172215730439e-04       2.390351467784e-08       5.975878669460e-08       3.800342060474e-14       1.195175733892e-08      -9.079864092730e-01       3.172215730439e-04       6.011653016953e-01       6.975872145346e-01      -1.210648545691e+00       3.171499952682e-04       1.994807652572e-04      -9.079864092827e-01       3.173664280467e-04 
       4.708055652115e+00       1.024848205107e-05      -1.210648668277e+00       3.172250865639e-04       2.390431527279e-08       5.976078818197e-08       3.800554548819e-14       1.195215763639e-08      -9.079865012075e-01       3.172250865639e-04       6.011652998173e-01       6.975871894213e-01      -1.210648668265e+00       3.171535063915e-04       1.994851890443e-04      -9.079865012247e-01       3.173699463748e-04 
       4.708107964554e+00       1.024859693173e-05      -1.210648790856e+00       3.172286000834e-04       2.390511588569e-08       5.976278971422e-08       3.800767046696e-14       1.195255794284e-08      -9.079865931419e-01       3.172286000835e-04       6.011652979394e-01       6.975871643081e-01      -1.210648790840e+00       3.171570175143e-04       1.994896128803e-04      -9.079865931667e-01       3.173734647027e-04 
       4.708160276993e+00       1.024871181240e-05      -1.210648913435e+00       3.172321136026e-04       2.390591651653e-08       5.976479129134e-08       3.800979554107e-14       1.195295825827e-08      -9.079866850764e-01       3.172321136026e-04       6.011652960614e-01       6.975871391950e-01      -1.210648913414e+00       3.171605286367e-04       1.994940367653e-04      -9.079866851088e-01       3.173769830302e-04 
       4.708212589432e+00       1.024882669310e-05      -1.210649036014e+00       3.172356271214e-04       2.390671716533e-08       5.976679291333e-08       3.801192071051e-14       1.195335858267e-08      -9.079867770109e-01       3.172356271214e-04       6.011652941834e-01       6.975871140820e-01      -1.210649035988e+00       3.171640397587e-04       1.994984606992e-04      -9.079867770508e-01       3.173805013575e-04 
       4.708264901871e+00       1.024894157383e-05      -1.210649158594e+00       3.172391406398e-04       2.390751783208e-08       5.976879458021e-08       3.801404597530e-14       1.195375891604e-08      -9.079868689453e-01       3.172391406399e-04       6.011652923053e-01       6.975870889690e-01      -1.210649158562e+00       3.171675508802e-04       1.995028846821e-04      -9.079868689929e-01       3.173840196845e-04 
       4.708455290031e+00       1.024935967590e-05      -1.210649604714e+00       3.172519278879e-04       2.391043196493e-08       5.977607991232e-08       3.802178156108e-14       1.195521598246e-08      -9.079872035357e-01       3.172519278880e-04       6.011652854703e-01       6.975869975721e-01      -1.210649604665e+00       3.171803294045e-04       1.995189859305e-04      -9.079872036108e-01       3.173968244341e-04 
       4.708645678190e+00       1.024977777827e-05      -1.210650050835e+00       3.172647151310e-04       2.391334633555e-08       5.978336583888e-08       3.802951840988e-14       1.195667316778e-08      -9.079875381261e-01       3.172647151311e-04       6.011652786352e-01       6.975869061761e-01      -1.210650050767e+00       3.171931079231e-04       1.995350878273e-04      -9.079875382288e-01       3.174096291801e-04 
       4.708836066350e+00       1.025019588093e-05      -1.210650496955e+00       3.172775023690e-04       2.391626094396e-08       5.979065235990e-08       3.803725652185e-14       1.195813047198e-08      -9.079878727165e-01       3.172775023691e-04       6.011652717999e-01       6.975868147808e-01      -1.210650496869e+00       3.172058864359e-04       1.995511903724e-04      -9.079878728468e-01       3.174224339224e-04 
       4.709026454509e+00       1.025061398389e-05      -1.210650943076e+00       3.172902896020e-04       2.391917579016e-08       5.979793947540e-08       3.804499589714e-14       1.195958789508e-08      -9.079882073070e-01       3.172902896021e-04       6.011652649644e-01       6.975867233863e-01      -1.210650942972e+00       3.172186649430e-04       1.995672935658e-04      -9.079882074649e-01       3.174352386611e-04 
