# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
    2       8.823274942838e-10       7.589192259923e-06       6.715759469156e-07      -1.626880296338e-06      -6.517831359983e-07       6.029660831089e-07       9.837951979201e-06      -2.422587110486e-07      -1.646409576738e-06      -5.736713607367e-07       6.928724098397e-06       3.818023252992e-08      -3.004931035482e-07       3.478512720486e-06       6.522014218457e-07       1.266224995444e-06 
    3       7.642951100130e-10       1.661033691257e-05       2.161777097995e-06      -2.711830336023e-06      -9.144610095859e-07       2.034207567368e-06       1.964045579067e-05      -1.220994212828e-07      -2.875530205824e-06      -7.188115574634e-07       1.380132912403e-05       2.525881870484e-07      -3.481365200810e-07       6.974564660710e-06       1.456884636953e-06       2.799385348945e-06 
    4       7.019742039273e-10       3.016886856544e-05       4.955181353001e-06      -3.744050382257e-06      -1.044609506606e-06       4.473322258839e-06       3.284528257759e-05       5.023847792061e-07      -4.123389461155e-06      -5.470073839671e-07       2.296165336482e-05       7.664076755956e-07      -1.534152521270e-07       1.167373468558e-05       2.683531567527e-06       5.009714399123e-06 
    5       6.157603051384e-10       4.878114904565e-05       9.344845826815e-06      -4.630462645987e-06      -1.025975491861e-06       8.002834697952e-06       4.965110571155e-05       1.893317930435e-06      -5.261597242741e-06       5.333711911469e-08       3.446933990085e-05       1.723721627817e-06       3.968875686001e-07       1.762705977172e-05       4.413509034639e-06       7.945182043054e-06 
    6       5.294885758229e-10       7.275485885630e-05       1.555962489103e-05      -5.307615257089e-06      -8.563403615411e-07       1.264228898591e-05       7.027766851968e-05       4.281905123330e-06      -6.209099728108e-06       1.160619107074e-06       4.841219492045e-05       3.262065370581e-06       1.395238062555e-06       2.489081725689e-05       6.721251588856e-06       1.163529722274e-05 
    7       4.906581647372e-10       1.022036769910e-04       2.376967945945e-05      -5.731526314134e-06      -5.395173572692e-07       1.837579026566e-05       9.493414884680e-05       7.858314371646e-06      -6.918951297297e-06       2.830852272270e-06       6.488343672368e-05       5.509075537967e-06       2.915861567486e-06       3.353833582341e-05       9.674965817564e-06       1.610844070111e-05 
    8       4.740589172982e-10       1.370863568729e-04       3.409812065675e-05      -5.869178288345e-06      -8.185955415383e-08       2.516153478716e-05       1.238018706113e-04       1.277288334054e-05      -7.368974040007e-06       5.103910923208e-06       8.398230717018e-05       8.565770491976e-06       5.016958539030e-06       4.362417585105e-05       1.333467273016e-05       2.138907285592e-05 
    9       4.232174501946e-10       1.772394166222e-04       4.662840473754e-05      -5.694433278195e-06       5.092146344273e-07       3.293966085417e-05       1.570244285753e-04       1.913968298914e-05      -7.549151520316e-06       8.007228227404e-06       1.058006789873e-04       1.253316637715e-05       7.744181517360e-06       5.522968482501e-05       1.775264569141e-05       2.749746140801e-05 
   10       3.478265528013e-10       2.224045898259e-04       6.140934684442e-05      -5.186186465556e-06       1.225863482445e-06       4.163854156053e-05       1.947028102446e-04       2.704088322985e-05      -7.460878480586e-06       1.155818953985e-05       1.304159145560e-04       1.746902793695e-05       1.113191079928e-05       6.839461789196e-05       2.297243928742e-05       3.445019885897e-05 
   11       3.294998966153e-10       2.722524641412e-04       7.845909402777e-05      -4.327489497205e-06       2.060136943598e-06       5.117951242553e-05       2.368940600822e-04       3.653292954252e-05      -7.107503710248e-06       1.576552281859e-05       1.579042744540e-04       2.344869260029e-05       1.520595570147e-05       8.319111819352e-05       2.903117980951e-05       4.226039681708e-05 
   12       3.513593242008e-10       3.264027409374e-04       9.776850691946e-05      -3.105116151017e-06       3.004132488558e-06       6.148044972445e-05       2.836119077928e-04       4.764791282340e-05      -6.496913967135e-06       2.063069179273e-05       1.883040162716e-04       3.050078206053e-05       1.998444872007e-05       9.965546675212e-05       3.595800743013e-05       5.093799387776e-05 
   13       3.299241701670e-10       3.844414939816e-04       1.193041968401e-04      -1.509342770940e-06       4.050068771238e-06       7.245846454131e-05       3.348290468726e-04       6.040094165323e-05      -5.638415904363e-06       2.614848133422e-05       2.216658473101e-04       3.866264067054e-05       2.547853525565e-05       1.178197769035e-04       4.377636629639e-05       6.048983876843e-05 
