#scalar perturbations for mode k = 7.010000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]        
       1.000416288789e+00       2.162463552969e-06      -1.204738778942e+00       1.475235306650e-03       5.412337402352e-09       1.353084350588e-08       1.957553526427e-15       2.706168701176e-09      -9.035540842062e-01       1.475235306650e-03       6.011353065908e-01       6.990615716228e-01      -1.204738778942e+00       1.474911447751e-03       1.970130865692e-04      -9.035540842062e-01       1.475905178686e-03      -1.204746192110e+00       1.474920555146e-03       1.970142946152e-04       3.333333189768e-01 
       1.000416289433e+00       2.162463554363e-06      -1.204738778946e+00       1.475235307599e-03       5.412337412812e-09       1.353084353203e-08       1.957553532734e-15       2.706168706406e-09      -9.035540842092e-01       1.475235307599e-03       6.011353065906e-01       6.990615716221e-01      -1.204738778946e+00       1.474911448699e-03       1.970130868223e-04      -9.035540842092e-01       1.475905179637e-03      -1.204746192114e+00       1.474920556094e-03       1.970142948684e-04       3.333333189768e-01 
       1.000416290077e+00       2.162463555758e-06      -1.204738778949e+00       1.475235308547e-03       5.412337423272e-09       1.353084355818e-08       1.957553539041e-15       2.706168711636e-09      -9.035540842121e-01       1.475235308547e-03       6.011353065904e-01       6.990615716215e-01      -1.204738778949e+00       1.474911449647e-03       1.970130870755e-04      -9.035540842121e-01       1.475905180587e-03      -1.204746192118e+00       1.474920557042e-03       1.970142951216e-04       3.333333189768e-01 
       1.000416292886e+00       2.162463561840e-06      -1.204738778966e+00       1.475235312687e-03       5.412337468907e-09       1.353084367227e-08       1.957553566559e-15       2.706168734454e-09      -9.035540842248e-01       1.475235312687e-03       6.011353065893e-01       6.990615716186e-01      -1.204738778966e+00       1.474911453785e-03       1.970130881801e-04      -9.035540842248e-01       1.475905184733e-03      -1.204746192135e+00       1.474920561180e-03       1.970142962262e-04       3.333333189768e-01 
       1.000416295695e+00       2.162463567923e-06      -1.204738778983e+00       1.475235316828e-03       5.412337514543e-09       1.353084378636e-08       1.957553594077e-15       2.706168757272e-09      -9.035540842375e-01       1.475235316828e-03       6.011353065883e-01       6.990615716158e-01      -1.204738778983e+00       1.474911457922e-03       1.970130892847e-04      -9.035540842375e-01       1.475905188878e-03      -1.204746192152e+00       1.474920565317e-03       1.970142973308e-04       3.333333189768e-01 
       1.000416298503e+00       2.162463574005e-06      -1.204738779000e+00       1.475235320968e-03       5.412337560179e-09       1.353084390045e-08       1.957553621596e-15       2.706168780090e-09      -9.035540842502e-01       1.475235320968e-03       6.011353065873e-01       6.990615716129e-01      -1.204738779000e+00       1.474911462059e-03       1.970130903893e-04      -9.035540842502e-01       1.475905193024e-03      -1.204746192169e+00       1.474920569455e-03       1.970142984354e-04       3.333333189768e-01 
       1.000416301312e+00       2.162463580088e-06      -1.204738779017e+00       1.475235325108e-03       5.412337605815e-09       1.353084401454e-08       1.957553649114e-15       2.706168802908e-09      -9.035540842629e-01       1.475235325108e-03       6.011353065863e-01       6.990615716101e-01      -1.204738779017e+00       1.474911466197e-03       1.970130914939e-04      -9.035540842629e-01       1.475905197170e-03      -1.204746192185e+00       1.474920573592e-03       1.970142995401e-04       3.333333189768e-01 
       1.000416317092e+00       2.162463614260e-06      -1.204738779112e+00       1.475235348366e-03       5.412337862197e-09       1.353084465549e-08       1.957553803710e-15       2.706168931098e-09      -9.035540843343e-01       1.475235348366e-03       6.011353065805e-01       6.990615715940e-01      -1.204738779112e+00       1.474911489440e-03       1.970130976996e-04      -9.035540843343e-01       1.475905220460e-03      -1.204746192281e+00       1.474920596836e-03       1.970143057458e-04       3.333333189768e-01 
       1.000416332872e+00       2.162463648432e-06      -1.204738779208e+00       1.475235371625e-03       5.412338118578e-09       1.353084529645e-08       1.957553958307e-15       2.706169059289e-09      -9.035540844057e-01       1.475235371625e-03       6.011353065748e-01       6.990615715780e-01      -1.204738779208e+00       1.474911512683e-03       1.970131039053e-04      -9.035540844057e-01       1.475905243751e-03      -1.204746192376e+00       1.474920620079e-03       1.970143119515e-04       3.333333189768e-01 
       1.000416348651e+00       2.162463682603e-06      -1.204738779303e+00       1.475235394884e-03       5.412338374959e-09       1.353084593740e-08       1.957554112904e-15       2.706169187480e-09      -9.035540844770e-01       1.475235394884e-03       6.011353065691e-01       6.990615715620e-01      -1.204738779303e+00       1.474911535927e-03       1.970131101110e-04      -9.035540844771e-01       1.475905267041e-03      -1.204746192471e+00       1.474920643323e-03       1.970143181572e-04       3.333333189768e-01 
       1.000416364431e+00       2.162463716775e-06      -1.204738779398e+00       1.475235418143e-03       5.412338631341e-09       1.353084657835e-08       1.957554267500e-15       2.706169315670e-09      -9.035540845484e-01       1.475235418143e-03       6.011353065633e-01       6.990615715459e-01      -1.204738779398e+00       1.474911559170e-03       1.970131163166e-04      -9.035540845485e-01       1.475905290331e-03      -1.204746192566e+00       1.474920666566e-03       1.970143243629e-04       3.333333189768e-01 
       1.000416522228e+00       2.162464058494e-06      -1.204738780350e+00       1.475235650730e-03       5.412341195155e-09       1.353085298789e-08       1.957555813467e-15       2.706170597578e-09      -9.035540852623e-01       1.475235650730e-03       6.011353065060e-01       6.990615713856e-01      -1.204738780350e+00       1.474911791605e-03       1.970131783733e-04      -9.035540852625e-01       1.475905523236e-03      -1.204746193518e+00       1.474920899003e-03       1.970143864201e-04       3.333333189768e-01 
       1.000416680026e+00       2.162464400212e-06      -1.204738781302e+00       1.475235883318e-03       5.412343758971e-09       1.353085939743e-08       1.957557359434e-15       2.706171879485e-09      -9.035540859762e-01       1.475235883318e-03       6.011353064486e-01       6.990615712252e-01      -1.204738781301e+00       1.474912024039e-03       1.970132404300e-04      -9.035540859764e-01       1.475905756140e-03      -1.204746194471e+00       1.474921131439e-03       1.970144484772e-04       3.333333189768e-01 
       1.000416837823e+00       2.162464741931e-06      -1.204738782253e+00       1.475236115906e-03       5.412346322787e-09       1.353086580697e-08       1.957558905403e-15       2.706173161394e-09      -9.035540866900e-01       1.475236115906e-03       6.011353063913e-01       6.990615710649e-01      -1.204738782253e+00       1.474912256473e-03       1.970133024868e-04      -9.035540866904e-01       1.475905989045e-03      -1.204746195423e+00       1.474921363875e-03       1.970145105344e-04       3.333333189768e-01 
       1.000416995621e+00       2.162465083650e-06      -1.204738783205e+00       1.475236348494e-03       5.412348886604e-09       1.353087221651e-08       1.957560451372e-15       2.706174443302e-09      -9.035540874039e-01       1.475236348494e-03       6.011353063339e-01       6.990615709045e-01      -1.204738783205e+00       1.474912488908e-03       1.970133645435e-04      -9.035540874043e-01       1.475906221949e-03      -1.204746196375e+00       1.474921596311e-03       1.970145725916e-04       3.333333189768e-01 
       1.000418573595e+00       2.162468500836e-06      -1.204738792723e+00       1.475238674371e-03       5.412374524819e-09       1.353093631205e-08       1.957575911121e-15       2.706187262410e-09      -9.035540945425e-01       1.475238674371e-03       6.011353057604e-01       6.990615693009e-01      -1.204738792722e+00       1.474914813251e-03       1.970139851114e-04      -9.035540945440e-01       1.475908550993e-03      -1.204746205896e+00       1.474923920674e-03       1.970151931639e-04       3.333333189768e-01 
       1.000420151568e+00       2.162471918021e-06      -1.204738802241e+00       1.475241000248e-03       5.412400163116e-09       1.353100040779e-08       1.957591370967e-15       2.706200081558e-09      -9.035541016811e-01       1.475241000248e-03       6.011353051869e-01       6.990615676974e-01      -1.204738802240e+00       1.474917137594e-03       1.970146056803e-04      -9.035541016836e-01       1.475910880037e-03      -1.204746215418e+00       1.474926245036e-03       1.970158137372e-04       3.333333189767e-01 
       1.000421729542e+00       2.162475335207e-06      -1.204738811760e+00       1.475243326125e-03       5.412425801493e-09       1.353106450373e-08       1.957606830911e-15       2.706212900746e-09      -9.035541088196e-01       1.475243326125e-03       6.011353046134e-01       6.990615660938e-01      -1.204738811757e+00       1.474919461937e-03       1.970152262501e-04      -9.035541088233e-01       1.475913209082e-03      -1.204746224939e+00       1.474928569399e-03       1.970164343114e-04       3.333333189767e-01 
