# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
    2       1.537058895721e-10       6.048351480498e-06       9.437954897826e-07      -1.110621542423e-06      -5.476305228788e-07       2.088085226878e-07       7.604079544090e-06      -7.971449868787e-09      -1.267568554969e-06      -3.125884340615e-07       5.638365767764e-06       1.278824130068e-07      -1.339780806174e-07       2.988953949205e-06       5.562432378162e-07       6.579605947352e-07 
    3       1.441216878930e-10       1.338843153865e-05       2.569350986674e-06      -1.759754592755e-06      -7.933891422479e-07       8.327339026877e-07       1.531366237333e-05       3.022074931999e-07      -2.193678900172e-06      -3.067982333274e-07       1.128973148742e-05       4.223407399562e-07      -4.827924187460e-08       6.016448156436e-06       1.242535053396e-06       1.461021251999e-06 
    4       1.342728434392e-10       2.444506568259e-05       5.379468846272e-06      -2.284748520350e-06      -9.547764565059e-07       1.914903009500e-06       2.581848364037e-05       1.096937866839e-06      -3.122218916717e-06      -5.593279668736e-08       1.887584262072e-05       1.012776025011e-06       2.697419993033e-07       1.010459648096e-05       2.289949386351e-06       2.658559362345e-06 
    5       1.287579772588e-10       3.962141247453e-05       9.605726210630e-06      -2.612500618702e-06      -1.022000657410e-06       3.491469568591e-06       3.932272274599e-05       2.584568974969e-06      -3.956406959336e-06       5.041198595411e-07       2.846875763495e-05       2.018084449106e-06       9.031780327082e-07       1.530409073107e-05       3.768268847470e-06       4.307819720708e-06 
    6       1.271881910333e-10       5.914697231954e-05       1.542684176963e-05      -2.695444786600e-06      -9.947016741436e-07       5.573695162357e-06       5.603762670337e-05       4.949563809051e-06      -4.635528475783e-06       1.415783550758e-06       4.016138798468e-05       3.551359292500e-06       1.919327277766e-06       2.166934542161e-05       5.742951114844e-06       6.459235492453e-06 
    7       1.221427154214e-10       8.310011694430e-05       2.297495855565e-05      -2.501732383010e-06      -8.758304499917e-07       8.158799915968e-06       7.615725382132e-05       8.344668322558e-06      -5.124390668467e-06       2.708230758145e-06       5.404893790119e-05       5.718618718849e-06       3.372324288170e-06       2.926955756400e-05       8.274181495785e-06       9.159179785173e-06 
    8       1.137037818167e-10       1.114380828093e-04       3.234366061669e-05      -2.008773005070e-06      -6.692516270233e-07       1.123333394503e-05       9.984575572345e-05       1.289138156938e-05      -5.406573719422e-06       4.401357471997e-06       7.022803388348e-05       8.603444800465e-06       5.304434497215e-06       3.815682661287e-05       1.141525649983e-05       1.244898834097e-05 
    9       1.166345986132e-10       1.440226071114e-04       4.359360273885e-05      -1.200031430892e-06      -3.789628154196e-07       1.477598759607e-05       1.272308314440e-04       1.868252228329e-05      -5.474632760709e-06       6.508206099481e-06       8.878709325864e-05       1.229036963976e-05       7.748720436758e-06       4.840583136739e-05       1.521294951886e-05       1.636478570778e-05 
   10       1.195056622142e-10       1.806416947774e-04       5.675675072321e-05      -6.340859094984e-08      -8.880151026190e-09       1.875987936325e-05       1.584011032652e-04       2.578529019924e-05      -5.329838570225e-06       9.036446334736e-06       1.097989522523e-04       1.682771344404e-05       1.072986059784e-05       6.005527082454e-05       1.970645753825e-05       2.093773876342e-05 
   11       1.203698160343e-10       2.210282232524e-04       7.183986306196e-05       1.409624173781e-06       4.371949674796e-07       2.315434199192e-05       1.934060819635e-04       3.424613832416e-05      -4.974875270993e-06       1.198909257912e-05       1.333339147558e-04       2.227824442451e-05       1.426621522240e-05       7.316966672076e-05       2.492938043761e-05       2.619421863525e-05 
   12       1.129757565372e-10       2.648758011077e-04       8.882749321441e-05       3.224525113797e-06       9.555465890369e-07       2.792634014057e-05       2.322574600508e-04       4.409159800817e-05      -4.415728558098e-06       1.536531086067e-05       1.594285047886e-04       2.866698375189e-05       1.837048534372e-05       8.778441417398e-05       3.090830598946e-05       3.215617337418e-05 
   13       1.084117404443e-10       3.118522186447e-04       1.076846743590e-04       5.383986066235e-06       1.542504552578e-06       3.304159658592e-05       2.749315456859e-04       5.533408544521e-05      -3.659775480183e-06       1.916058317729e-05       1.881272984923e-04       3.602403553394e-05       2.305009332938e-05       1.039276640750e-04       3.766474029842e-05       3.884133080899e-05 
   14       1.257413996499e-10       3.616107878565e-04       1.283593617851e-04       7.888158876590e-06       2.194449055474e-06       3.846548754544e-05       3.213718868023e-04       6.797110932899e-05      -2.712029467641e-06       2.336731060404e-05       2.194371004462e-04       4.437622187963e-05       2.830907068941e-05       1.216518369157e-04       4.521510769164e-05       4.626350481231e-05 
   15       1.210295815322e-10       4.137998901341e-04       1.507846713846e-04       1.073486004781e-05       2.907841657637e-06       4.416375502226e-05       3.714923785216e-04       8.198913946665e-05      -1.582749192439e-06       2.797509605816e-05       2.533604363480e-04       5.370942012668e-05       3.414661195580e-05       1.409386146601e-04       5.356999548281e-05       5.443291968467e-05 
   16       1.195886551505e-10       4.680709796049e-04       1.748809663395e-04       1.391973499783e-05       3.679196399276e-06       5.010306200524e-05       4.251803895594e-04       9.736563516215e-05      -2.766054227275e-07       3.297085291059e-05       2.898936397610e-04       6.405652492974e-05       4.055934961502e-05       1.618392398727e-04       6.273729267331e-05       6.335630597474e-05 
   17       1.177728292080e-10       5.240851371838e-04       2.005578372848e-04       1.743640401251e-05       4.505041515812e-06       5.625140960279e-05       4.822996781078e-04       1.140671567038e-04       1.198080074291e-06       3.833955739822e-05       3.289893526770e-04       7.538904692947e-05       4.754086359544e-05       1.843402522859e-04       7.271906578605e-05       7.303733351757e-05 
   18       1.295295553613e-10       5.815192660802e-04       2.277160951474e-04       2.127676362150e-05       5.382049794323e-06       6.257864752408e-05       5.426932039791e-04       1.320556772507e-04       2.833595413164e-06       4.406419596444e-05       3.706241442021e-04       8.770849094708e-05       5.508137835263e-05       2.084405598979e-04       8.351467382897e-05       8.347666306815e-05 
   19       1.426028509235e-10       6.400651479462e-04       2.562485521267e-04       2.543035427196e-05       6.306654498911e-06       6.905569136698e-05       6.061880471964e-04       1.512854636094e-04       4.621571575594e-06       5.012577334950e-05       4.147466536041e-04       1.009997104360e-04       6.316885264560e-05       2.341310821217e-04       9.511978748807e-05       9.467225507104e-05 
   20       1.343908957710e-10       6.994434133189e-04       2.860433042130e-04       2.988631337433e-05       7.276063537579e-06       7.565679192111e-05       6.725935602386e-04       1.717049100969e-04       6.555099547185e-06       5.650468288379e-05       4.612819579581e-04       1.152338433794e-04       7.178969169780e-05       2.613915076556e-04       1.075264935737e-04       1.066195395078e-04 
   21       1.166241159215e-10       7.593922993120e-04       3.169831617275e-04       3.463148706316e-05       8.286898496379e-06       8.235709680879e-05       7.417089843671e-04       1.932580977579e-04       8.626578587635e-06       6.317951606784e-05       5.101552388953e-04       1.303909894746e-04       8.092781553128e-05       2.902077977736e-04       1.207244641297e-04       1.193115586735e-04 
   22       1.120347500644e-10       8.196819339844e-04       3.489489366855e-04       3.965215545130e-05       9.336207200500e-06       8.913480622100e-05       8.133221960922e-04       2.158860401861e-04       1.082948507805e-05       7.012839807658e-05       5.612848970262e-04       1.464526394680e-04       9.056563203099e-05       3.205637356228e-04       1.347008005488e-04       1.327391845682e-04 
   23       1.205963591106e-10       8.801025124053e-04       3.818192343137e-04       4.493298943215e-05       1.042094458860e-05       9.596940415699e-05       8.872143640727e-04       2.395261692785e-04       1.315556507944e-05       7.732849708484e-05       6.145846077759e-04       1.633934567406e-04       1.006834944771e-04       3.524310676494e-04       1.494399927864e-04       1.468912722952e-04 
   24       1.333683504663e-10       9.404775546198e-04       4.154733850374e-04       5.045834490650e-05       1.153852707647e-05       1.028433720725e-04       9.631600711535e-04       2.641138940549e-04       1.559693598566e-05       8.475698695197e-05       6.699597300437e-04       1.811823349660e-04       1.112606683054e-04       3.857713636501e-04       1.649241793017e-04       1.617548633042e-04 
   25       1.411744142641e-10       1.000649487737e-03       4.497908334363e-04       5.621135020021e-05       1.268610359831e-05       1.097402791308e-04       1.040931430930e-03       2.895812302535e-04       1.814444254245e-05       9.239042472158e-05       7.273033276906e-04       1.997749605753e-04       1.222752163436e-04       4.205323613344e-04       1.811332124813e-04       1.773152589875e-04 
   26       1.363782654557e-10       1.060493387946e-03       4.846542142617e-04       6.217499913293e-05       1.386115950019e-05       1.166464668777e-04       1.120298715747e-03       3.158591141052e-04       2.078972457715e-05       1.002056956260e-04       7.864999950132e-04       2.191238230461e-04       1.337045747422e-04       4.566570564012e-04       1.980451348948e-04       1.935562502728e-04 
   27       1.253172487948e-10       1.119903822387e-03       5.199492611139e-04       6.833139781935e-05       1.506113068701e-05       1.235496032379e-04       1.201033622525e-03       3.428772687881e-04       2.352578690925e-05       1.081795994738e-04       8.474347215659e-04       2.391982336779e-04       1.455249580042e-04       4.941095136611e-04       2.156368905715e-04       2.104601667746e-04 
