# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.000000000000e+14       7.558403069291e-26       4.634785000235e-09       2.157574652335e+22       1.387395658547e+04       1.387395658547e-10       1.387395658547e+18       2.675922562239e-09       2.751560535470e+44       2.725992637331e+33       1.362996318666e+34       6.331470950076e+43       2.110490316692e+43       3.808819787004e-08       1.270420749756e+44       4.655128380397e+44       5.474807221670e-20       2.000000000000e+14 
       9.930486593843e+13       7.664591074011e-26       4.667526809499e-09       2.127682836170e+22       1.387395658547e+04       1.397107428157e-10       1.377751398756e+18       2.694654020174e-09       2.675846458098e+44       2.669538980851e+33       1.334769490426e+34       6.157249276517e+43       2.052416425506e+43       3.808819787004e-08       1.235462865421e+44       4.527034251331e+44       7.638028091958e-08       1.433565615564e+02 
       9.861456399050e+13       7.772270914010e-26       4.700268618762e-09       2.098205151990e+22       1.387395658547e+04       1.406887180154e-10       1.368174179500e+18       2.713516598315e-09       2.602215788102e+44       2.614254445405e+33       1.307127222703e+34       5.987821621879e+43       1.995940540626e+43       3.808819787004e-08       1.201466909389e+44       4.402464859836e+44       1.527605618391e-07       7.167828077820e+01 
       9.792906056653e+13       7.881463548081e-26       4.733010428026e-09       2.069135862261e+22       1.387395658547e+04       1.416735390415e-10       1.358663534756e+18       2.732511214503e-09       2.530611196824e+44       2.560114819204e+33       1.280057409602e+34       5.823056070214e+43       1.941018690071e+43       3.808819787004e-08       1.168406412495e+44       4.281323216494e+44       2.291408427586e-07       4.778552051880e+01 
       9.724832231036e+13       7.992190229468e-26       4.765752237290e-09       2.040469308940e+22       1.387395658547e+04       1.426652538148e-10       1.349219001744e+18       2.751638793005e-09       2.460976933110e+44       2.507096391871e+33       1.253548195936e+34       5.662824335475e+43       1.887608111825e+43       3.808819787004e-08       1.136255633918e+44       4.163515000726e+44       3.055211236781e-07       3.583914038910e+01 
       9.657231609767e+13       8.104472510002e-26       4.798494046554e-09       2.012199912371e+22       1.387395658547e+04       1.436639105915e-10       1.339840120898e+18       2.770900264556e-09       2.393258779894e+44       2.455175944057e+33       1.227587972028e+34       5.507001661632e+43       1.835667220544e+43       3.808819787004e-08       1.104989541142e+44       4.048948487347e+44       3.819014045976e-07       2.867131231128e+01 
       9.590100903443e+13       8.218332244295e-26       4.833054845221e-09       1.984322170202e+22       1.387395658547e+04       1.446695579657e-10       1.330526435847e+18       2.790296566408e-09       2.327404011992e+44       2.404330737270e+33       1.202165368635e+34       5.355466725541e+43       1.785155575180e+43       3.808819787004e-08       1.074583790466e+44       3.937534475156e+44       4.582816855171e-07       2.389276025940e+01 
       9.523436845525e+13       8.333791593995e-26       4.867615643889e-09       1.956830656312e+22       1.387395658547e+04       1.456822448714e-10       1.321277493393e+18       2.809828642372e-09       2.263361355047e+44       2.354538503921e+33       1.177269251961e+34       5.208101542478e+43       1.736033847493e+43       3.808819787004e-08       1.045014708047e+44       3.829186217483e+44       5.346619664365e-07       2.047950879377e+01 
       9.457236192179e+13       8.450873032099e-26       4.900357453153e-09       1.929720019755e+22       1.387395658547e+04       1.467020205855e-10       1.312092843489e+18       2.829497442869e-09       2.201080945604e+44       2.305777437567e+33       1.152888718784e+34       5.064791374280e+43       1.688263791427e+43       3.808819787004e-08       1.016259271472e+44       3.723819354642e+44       6.110422473560e-07       1.791957019455e+01 
       9.391495722125e+13       8.569599347327e-26       4.934918251820e-09       1.902984983719e+22       1.387395658547e+04       1.477289347296e-10       1.302972039214e+18       2.849303924969e-09       2.140514292293e+44       2.258026183365e+33       1.129013091682e+34       4.925424640007e+43       1.641808213336e+43       3.808819787004e-08       9.882950918301e+43       3.621351848259e+44       6.874225282754e-07       1.592850683960e+01 
       9.326212236469e+13       8.689993648557e-26       4.969479050487e-09       1.876620344499e+22       1.387395658547e+04       1.487630372727e-10       1.293914636757e+18       2.869249052444e-09       2.081614238068e+44       2.211263828715e+33       1.105631914358e+34       4.789892829068e+43       1.596630943023e+43       3.808819787004e-08       9.611003962804e+43       3.521703917388e+44       7.638028091949e-07       1.433565615564e+01 
       9.261382558559e+13       8.812079369325e-26       5.004039849155e-09       1.850620970485e+22       1.387395658547e+04       1.498043785337e-10       1.284920195389e+18       2.889333795811e-09       2.024334923495e+44       2.165469894108e+33       1.082734947054e+34       4.658090416733e+43       1.552696805578e+43       3.808819787004e-08       9.346540111009e+43       3.424797976399e+44       8.401830901143e-07       1.303241468694e+01 
       9.197003533823e+13       8.935880272385e-26       5.038600647822e-09       1.824981801161e+22       1.387395658547e+04       1.508530091834e-10       1.275988277447e+18       2.909559132381e-09       1.968631751041e+44       2.120624324151e+33       1.060312162076e+34       4.529914781972e+43       1.509971593991e+43       3.808819787004e-08       9.089353452021e+43       3.330558574568e+44       9.165633710338e-07       1.194638012970e+01 
       9.133072029615e+13       9.061420454331e-26       5.074980435893e-09       1.799697846121e+22       1.387395658547e+04       1.519089802477e-10       1.267118448309e+18       2.929926046308e-09       1.914461350357e+44       2.076707478787e+33       1.038353739393e+34       4.405266127557e+43       1.468422042519e+43       3.808819787004e-08       8.839243740949e+43       3.238912337332e+44       9.929436519532e-07       1.102742781203e+01 
       9.069584935070e+13       9.188724350294e-26       5.109541234560e-09       1.774764184099e+22       1.387395658547e+04       1.529723431094e-10       1.258310276374e+18       2.950435528632e-09       1.861781544502e+44       2.033700124691e+33       1.016850062345e+34       4.284047402355e+43       1.428015800785e+43       3.808819787004e-08       8.596016242996e+43       3.149787909159e+44       1.069323932873e-06       1.023975439688e+01 
       9.006539160943e+13       9.317816738691e-26       5.145921022631e-09       1.750175962009e+22       1.387395658547e+04       1.540431495112e-10       1.249563333043e+18       2.971088577332e-09       1.810551317112e+44       1.991583426850e+33       9.957917134251e+33       4.166164225771e+43       1.388721408590e+43       3.808819787004e-08       8.359481581840e+43       3.063115897993e+44       1.145704213792e-06       9.557104103757e+00 
       8.943931639467e+13       9.448722746053e-26       5.182300810702e-09       1.725928394002e+22       1.387395658547e+04       1.551214515577e-10       1.240877192694e+18       2.991886197373e-09       1.760730780460e+44       1.950338940313e+33       9.751694701566e+33       4.051524814257e+43       1.350508271419e+43       3.808819787004e-08       8.129455592183e+43       2.978828821221e+44       1.222084494711e-06       8.959785097272e+00 
       8.881759324197e+13       9.581467851912e-26       5.218680598773e-09       1.702016760533e+22       1.387395658547e+04       1.562073017187e-10       1.232251432665e+18       3.012829400755e-09       1.712281144399e+44       1.909948602112e+33       9.549743010559e+33       3.940039909853e+43       1.313346636618e+43       3.808819787004e-08       7.905759176363e+43       2.896861053136e+44       1.298464775631e-06       8.432738915079e+00 
       8.820019189868e+13       9.716077893763e-26       5.255060386844e-09       1.678436407445e+22       1.387395658547e+04       1.573007528307e-10       1.223685633233e+18       3.033919206560e-09       1.665164686165e+44       1.870394723352e+33       9.351973616759e+33       3.831622710690e+43       1.277207570230e+43       3.808819787004e-08       7.688218164911e+43       2.817148773837e+44       1.374845056550e-06       7.964253419796e+00 
       8.758708232243e+13       9.852579072092e-26       5.291440174915e-09       1.655182745060e+22       1.387395658547e+04       1.584018581005e-10       1.215179377590e+18       3.055156641006e-09       1.619344721000e+44       1.831659981464e+33       9.158299907322e+33       3.726188803409e+43       1.242062934470e+43       3.808819787004e-08       7.476663180936e+43       2.739629919544e+44       1.451225337470e-06       7.545082187175e+00 
       8.697823467967e+13       9.990997955476e-26       5.327819962986e-09       1.632251247287e+22       1.387395658547e+04       1.595106711072e-10       1.206732251827e+18       3.076542737493e-09       1.574785573594e+44       1.793727412621e+33       8.968637063106e+33       3.623656097432e+43       1.207885365811e+43       3.808819787004e-08       7.270929508257e+43       2.664244134270e+44       1.527605618389e-06       7.167828077816e+00 
       8.637361934426e+13       1.013136148575e-25       5.366018740460e-09       1.609637450742e+22       1.387395658547e+04       1.606272458050e-10       1.198343844912e+18       3.098078536655e-09       1.531452550306e+44       1.756580404304e+33       8.782902021521e+33       3.523944761049e+43       1.174648253683e+43       3.808819787004e-08       7.070856963148e+43       2.590932722831e+44       1.603985899308e-06       6.826502931253e+00 
       8.577320689599e+13       1.027369698327e-25       5.404217517935e-09       1.587336953877e+22       1.387395658547e+04       1.617516365256e-10       1.190013748672e+18       3.119765086411e-09       1.489311912151e+44       1.720202688031e+33       8.601013440155e+33       3.426977159264e+43       1.142325719755e+43       3.808819787004e-08       6.876289769627e+43       2.519638605144e+44       1.680366180228e-06       6.516207343469e+00 
       8.517696811915e+13       1.041803215218e-25       5.440597306006e-09       1.565345416126e+22       1.387395658547e+04       1.628838979813e-10       1.181741557767e+18       3.141603442016e-09       1.448330848536e+44       1.684578332229e+33       8.422891661145e+33       3.332677793344e+43       1.110892597781e+43       3.808819787004e-08       6.687076438161e+43       2.450306271787e+44       1.756746461147e-06       6.232893980709e+00 
       8.458487400115e+13       1.056439508589e-25       5.478796083480e-09       1.543658557058e+22       1.387395658547e+04       1.640240852671e-10       1.173526869680e+18       3.163594666110e-09       1.408477451704e+44       1.649691735259e+33       8.248458676296e+33       3.240973242037e+43       1.080324414012e+43       3.808819787004e-08       6.503069647723e+43       2.382881740779e+44       1.833126742066e-06       5.973190064846e+00 
       8.399689573103e+13       1.071281427245e-25       5.516994860955e-09       1.522272155545e+22       1.387395658547e+04       1.651722538640e-10       1.165369284687e+18       3.185739828773e-09       1.369720691902e+44       1.615527618583e+33       8.077638092915e+33       3.151792104408e+43       1.050597368136e+43       3.808819787004e-08       6.324126131085e+43       2.317312515548e+44       1.909507022986e-06       5.734262462252e+00 
       8.341300469814e+13       1.086331860016e-25       5.557012627833e-09       1.501182048940e+22       1.387395658547e+04       1.663284596410e-10       1.157268405846e+18       3.208040007574e-09       1.332030393213e+44       1.582071020071e+33       7.910355100356e+33       3.065064944247e+43       1.021688314749e+43       3.808819787004e-08       6.150106563271e+43       2.253547544059e+44       1.985887303905e-06       5.513713906012e+00 
       8.283317249071e+13       1.101593736318e-25       5.595211405307e-09       1.480384132266e+22       1.387395658547e+04       1.674927588585e-10       1.149223838973e+18       3.230496287627e-09       1.295377210063e+44       1.549307287451e+33       7.746536437255e+33       2.980724236004e+43       9.935747453345e+42       3.808819787004e-08       5.980875453080e+43       2.191537179065e+44       2.062267584824e-06       5.309502279863e+00 
       8.225737089444e+13       1.117070026719e-25       5.635229172185e-09       1.459874357419e+22       1.387395658547e+04       1.686652081705e-10       1.141235192625e+18       3.253109761640e-09       1.259732604377e+44       1.517222071890e+33       7.586110359448e+33       2.898704312212e+43       9.662347707373e+42       3.808819787004e-08       5.816301037593e+43       2.131233139449e+44       2.138647865744e-06       5.119877198439e+00 
       8.168557189121e+13       1.132763743524e-25       5.673427949660e-09       1.439648732378e+22       1.387395658547e+04       1.698458646277e-10       1.133302078078e+18       3.275881529971e-09       1.225068823353e+44       1.485801321710e+33       7.429006608548e+33       2.818941312364e+43       9.396471041213e+42       3.808819787004e-08       5.656255179579e+43       2.072588472637e+44       2.215028146663e-06       4.943329708838e+00 
