# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
    2       1.324520049533e-10       6.219288754289e-06       8.084956049006e-07      -1.136224426293e-06      -5.172870611358e-07       2.632215498436e-07       7.524625000458e-06      -1.405816883301e-07      -1.251146386908e-06      -3.016011899330e-07       5.487978480162e-06       4.537632375952e-08      -1.474570741066e-07       2.847655919629e-06       5.046068566114e-07       6.175025585021e-07 
    3       1.233362544812e-10       1.397785642355e-05       2.348165181654e-06      -1.815361208052e-06      -7.426964794308e-07       9.680195981627e-07       1.519712949418e-05       5.511101372986e-08      -2.164080958903e-06      -2.854005681134e-07       1.099917198938e-05       2.589649563245e-07      -7.911881980074e-08       5.734547996235e-06       1.136075010759e-06       1.381282120235e-06 
    4       1.170227273898e-10       2.581282424575e-05       5.088415396383e-06      -2.386483378152e-06      -8.838311853443e-07       2.183179020519e-06       2.570530952935e-05       7.170591570384e-07      -3.079216363319e-06      -1.746853441272e-08       1.841425391386e-05       7.462182482878e-07       2.153262877069e-07       9.640045801418e-06       2.110158361848e-06       2.528706514692e-06 
    5       1.134811877856e-10       4.220753049629e-05       9.283983625584e-06      -2.776675804574e-06      -9.308135349189e-07       3.954505056493e-06       3.928981671828e-05       2.064776575596e-06      -3.902153428736e-06       5.706125308699e-07       2.781895735037e-05       1.629641118319e-06       8.208379115700e-07       1.461940763229e-05       3.498167611102e-06       4.118606344573e-06 
    6       1.117394365455e-10       6.345073786975e-05       1.513732816278e-05      -2.936567906778e-06      -8.824026592860e-07       6.299692545844e-06       5.620089955420e-05       4.294014505635e-06      -4.573468765392e-06       1.526497486923e-06       3.932170542519e-05       3.027418642518e-06       1.807500385895e-06       2.073383823518e-05       5.367738954725e-06       6.203132760418e-06 
    7       1.031406502687e-10       8.965977697874e-05       2.280376981594e-05      -2.831312678966e-06      -7.404873456324e-07       9.219764719201e-06       7.667204878077e-05       7.568737695763e-06      -5.058600987936e-06       2.884952615131e-06       5.303516962373e-05       5.049349009691e-06       3.232909658261e-06       2.805809336511e-05       7.781871299589e-06       8.830681891285e-06 
    8       1.018563861733e-10       1.208127202788e-04       3.239878187343e-05      -2.434635902072e-06      -5.079683985120e-07       1.270279915566e-05       1.009058263844e-04       1.202161013654e-05      -5.340464162739e-06       4.671406389470e-06       6.907481867803e-05       7.786293757667e-06       5.143322978107e-06       3.665415533079e-05       1.079716324744e-05       1.204490188988e-05 
    9       1.062296437335e-10       1.567764795873e-04       4.400309920584e-05      -1.725999755343e-06      -1.880539601092e-07       1.672717172891e-05       1.290662517184e-04       1.775625294659e-05      -5.410919651768e-06       6.904083873255e-06       8.754659659135e-05       1.132569093645e-05       7.576049775313e-06       4.660196117641e-05       1.446411381297e-05       1.588447549128e-05 
   10       1.074012870798e-10       1.973310719367e-04       5.766660587169e-05      -6.892201047564e-07       2.159310621173e-07       2.126426019024e-05       1.612755607343e-04       2.485068642225e-05      -5.269509617978e-06       9.595318661755e-06       1.085446832281e-04       1.572485732671e-05       1.056020181848e-05       5.795223735962e-05       1.882598612636e-05       2.038333052298e-05 
   11       1.044306030026e-10       2.421906499858e-04       7.341159187833e-05       6.882618335047e-07       7.005889995016e-07       2.628058324481e-05       1.976136887767e-04       3.336121752056e-05      -4.917393822358e-06       1.275221273874e-05       1.321546403304e-04       2.104958118039e-05       1.411852230093e-05       7.077534105596e-05       2.392055835714e-05       2.557075961151e-05 
   12       9.767563576749e-11       2.910216362165e-04       9.123563643480e-05       2.415782620717e-06       1.262462496953e-06       3.173950917330e-05       2.381193051139e-04       4.332437397469e-05      -4.359037641184e-06       1.637738361216e-05       1.584349410302e-04       2.733245883677e-05       1.826805420214e-05       8.511711950817e-05       2.977891895390e-05       3.147173365888e-05 
   13       1.060163314126e-10       3.434582477730e-04       1.111142544625e-04       4.499686494251e-06       1.898032190073e-06       3.760261991138e-05       2.827919977684e-04       5.476140176943e-05      -3.599630462365e-06       2.046915490224e-05       1.874444356730e-04       3.461058233535e-05       2.302039171202e-05       1.010163414718e-04       3.642694126211e-05       3.810710135368e-05 
   14       1.159619252615e-10       3.991156858214e-04       1.330033465035e-04       6.943503989855e-06       2.603738047935e-06       4.383080180511e-05       3.315948638139e-04       6.767818744422e-05      -2.643452164597e-06       2.502215164498e-05       2.192073496330e-04       4.291222684743e-05       2.838346072921e-05       1.185293163360e-04       4.388561672274e-05       4.549382248682e-05 
   15       1.035630080945e-10       4.576013161025e-04       1.568414752671e-04       9.748129715798e-06       3.376028586391e-06       5.038511844165e-05       3.844575777927e-04       8.206908374620e-05      -1.498405112855e-06       3.002760636922e-05       2.537443074614e-04       5.223599748499e-05       3.436018359569e-05       1.376544516496e-04       5.216997546267e-05       5.364529323009e-05 
   16       1.122076894979e-10       5.185240951491e-04       1.825520340296e-04       1.291197720412e-05       4.211364047782e-06       5.722749404893e-05       4.412794692895e-04       9.791780328734e-05      -1.684196499712e-07       3.547352856972e-05       2.910600193983e-04       6.261306190307e-05       4.095051575350e-05       1.584439145082e-04       6.129216564460e-05       6.257139459741e-05 
   17       1.016324990205e-10       5.815023210793e-04       2.100453512482e-04       1.643111634996e-05       5.106195370163e-06       6.432122915212e-05       5.019326128064e-04       1.151975049912e-04       1.339046490980e-06       4.134544700113e-05       3.311276348224e-04       7.402380538270e-05       4.815113696505e-05       1.808963608578e-04       7.125868587353e-05       7.227888034735e-05 
   18       1.095831552904e-10       6.461709004290e-04       2.392207962066e-04       2.029955357671e-05       6.057081855385e-06       7.163160615252e-05       5.662645363406e-04       1.338748131836e-04       3.017839012400e-06       4.762641642165e-05       3.739303917025e-04       8.647435019803e-05       5.595503176136e-05       2.050189193838e-04       8.207284062410e-05       8.277145803437e-05 
