#scalar perturbations for mode k = 7.010000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]        
       1.000463237018e+00       2.162666901022e-06      -1.204777819689e+00       1.475283104522e-03       4.951428408164e-09       1.237857102041e-08       1.638282364879e-15       2.475714204082e-09      -9.035833647667e-01       1.475283104522e-03       6.011361065800e-01       6.990518320774e-01      -1.204777819689e+00       1.474959109987e-03       1.970295997006e-04      -9.035833647667e-01       1.475952959382e-03      -1.204785233323e+00       1.474968217958e-03       1.970308078840e-04       3.333333189741e-01 
       1.000463237662e+00       2.162666902417e-06      -1.204777819693e+00       1.475283105471e-03       4.951428417732e-09       1.237857104433e-08       1.638282370157e-15       2.475714208866e-09      -9.035833647696e-01       1.475283105471e-03       6.011361065798e-01       6.990518320767e-01      -1.204777819693e+00       1.474959110935e-03       1.970295999538e-04      -9.035833647696e-01       1.475952960332e-03      -1.204785233327e+00       1.474968218906e-03       1.970308081372e-04       3.333333189741e-01 
       1.000463238306e+00       2.162666903811e-06      -1.204777819697e+00       1.475283106419e-03       4.951428427300e-09       1.237857106825e-08       1.638282375435e-15       2.475714213650e-09      -9.035833647725e-01       1.475283106419e-03       6.011361065796e-01       6.990518320761e-01      -1.204777819697e+00       1.474959111883e-03       1.970296002070e-04      -9.035833647725e-01       1.475952961282e-03      -1.204785233331e+00       1.474968219855e-03       1.970308083904e-04       3.333333189741e-01 
       1.000463241114e+00       2.162666909894e-06      -1.204777819714e+00       1.475283110559e-03       4.951428469047e-09       1.237857117262e-08       1.638282398464e-15       2.475714234524e-09      -9.035833647853e-01       1.475283110559e-03       6.011361065786e-01       6.990518320732e-01      -1.204777819714e+00       1.474959116020e-03       1.970296013116e-04      -9.035833647853e-01       1.475952965427e-03      -1.204785233348e+00       1.474968223992e-03       1.970308094950e-04       3.333333189741e-01 
       1.000463243923e+00       2.162666915977e-06      -1.204777819731e+00       1.475283114699e-03       4.951428510794e-09       1.237857127699e-08       1.638282421493e-15       2.475714255397e-09      -9.035833647981e-01       1.475283114699e-03       6.011361065775e-01       6.990518320703e-01      -1.204777819731e+00       1.474959120157e-03       1.970296024162e-04      -9.035833647981e-01       1.475952969573e-03      -1.204785233365e+00       1.474968228129e-03       1.970308105996e-04       3.333333189741e-01 
       1.000463246732e+00       2.162666922060e-06      -1.204777819748e+00       1.475283118839e-03       4.951428552541e-09       1.237857138135e-08       1.638282444521e-15       2.475714276271e-09      -9.035833648109e-01       1.475283118839e-03       6.011361065765e-01       6.990518320674e-01      -1.204777819748e+00       1.474959124294e-03       1.970296035207e-04      -9.035833648109e-01       1.475952973718e-03      -1.204785233382e+00       1.474968232266e-03       1.970308117042e-04       3.333333189741e-01 
       1.000463249540e+00       2.162666928142e-06      -1.204777819765e+00       1.475283122978e-03       4.951428594288e-09       1.237857148572e-08       1.638282467550e-15       2.475714297144e-09      -9.035833648237e-01       1.475283122978e-03       6.011361065755e-01       6.990518320646e-01      -1.204777819765e+00       1.474959128431e-03       1.970296046253e-04      -9.035833648237e-01       1.475952977864e-03      -1.204785233399e+00       1.474968236403e-03       1.970308128088e-04       3.333333189741e-01 
       1.000463265320e+00       2.162666962317e-06      -1.204777819861e+00       1.475283146236e-03       4.951428828829e-09       1.237857207207e-08       1.638282596930e-15       2.475714414415e-09      -9.035833648955e-01       1.475283146236e-03       6.011361065698e-01       6.990518320484e-01      -1.204777819861e+00       1.474959151674e-03       1.970296108312e-04      -9.035833648955e-01       1.475953001153e-03      -1.204785233495e+00       1.474968259645e-03       1.970308190146e-04       3.333333189741e-01 
       1.000463281099e+00       2.162666996492e-06      -1.204777819956e+00       1.475283169494e-03       4.951429063371e-09       1.237857265843e-08       1.638282726309e-15       2.475714531685e-09      -9.035833649673e-01       1.475283169494e-03       6.011361065641e-01       6.990518320322e-01      -1.204777819956e+00       1.474959174916e-03       1.970296170370e-04      -9.035833649674e-01       1.475953024443e-03      -1.204785233590e+00       1.474968282888e-03       1.970308252205e-04       3.333333189741e-01 
       1.000463296879e+00       2.162667030667e-06      -1.204777820052e+00       1.475283192752e-03       4.951429297912e-09       1.237857324478e-08       1.638282855689e-15       2.475714648956e-09      -9.035833650392e-01       1.475283192752e-03       6.011361065583e-01       6.990518320160e-01      -1.204777820052e+00       1.474959198159e-03       1.970296232428e-04      -9.035833650392e-01       1.475953047732e-03      -1.204785233686e+00       1.474968306131e-03       1.970308314263e-04       3.333333189741e-01 
