# Matter power spectrum P(k) at redshift z=0
# for k=1.02968e-05 to 1.74227 h/Mpc,
# number of wavenumbers equal to 571
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.029678462499e-05       4.022759999381e+01 
       2.294100135435e-05       8.996584489260e+01 
       3.562816791460e-05       1.397958757440e+02 
       4.839117448692e-05       1.899041321344e+02 
       6.126343646197e-05       2.404308125484e+02 
       7.427918158426e-05       2.915118165246e+02 
       8.747374596905e-05       3.432857566299e+02 
       1.008838827959e-04       3.958957616838e+02 
       1.145480875130e-04       4.494914128068e+02 
       1.285069434184e-04       5.042300141942e+02 
       1.428034914956e-04       5.602780890527e+02 
       1.574836283415e-04       6.178129371012e+02 
       1.725965358911e-04       6.770242251561e+02 
       1.881951463591e-04       7.381156506503e+02 
       2.043366453029e-04       8.013069069915e+02 
       2.210830148690e-04       8.668355659957e+02 
       2.385016179683e-04       9.349592227143e+02 
       2.566658221761e-04       1.005957689679e+03 
       2.756556593414e-04       1.080135307989e+03 
       2.955585129606e-04       1.157823297956e+03 
       3.164698200100e-04       1.239382073577e+03 
       3.384937668103e-04       1.325203476557e+03 
       3.617439492778e-04       1.415712733472e+03 
       3.863439563442e-04       1.511370010138e+03 
       4.124278213169e-04       1.612671281616e+03 
       4.401402697669e-04       1.720148274248e+03 
       4.696366749954e-04       1.834367057453e+03 
       5.010826149538e-04       1.955924905503e+03 
       5.346529105223e-04       2.085444962617e+03 
       5.705300185709e-04       2.223568195045e+03 
       6.089016599121e-04       2.370942259360e+03 
       6.499575887004e-04       2.528206942354e+03 
       6.938854623560e-04       2.695976160269e+03 
       7.408658535478e-04       2.874816764758e+03 
       7.910665566774e-04       3.065224965312e+03 
       8.446364708579e-04       3.267601569772e+03 
       9.016994697934e-04       3.482227915340e+03 
       9.623487679107e-04       3.709244502023e+03 
       1.026642330486e-03       3.948634736443e+03 
       1.094599829160e-03       4.200215620795e+03 
       1.166201506452e-03       4.463636925821e+03 
       1.241389101151e-03       4.738385129058e+03 
       1.320068740543e-03       5.023770062586e+03 
       1.402115476663e-03       5.319056821799e+03 
       1.487378978505e-03       5.623379616002e+03 
       1.575689817865e-03       5.935808878961e+03 
       1.666865804990e-03       6.255379696780e+03 
       1.760717921652e-03       6.581117606164e+03 
       1.857055531458e-03       6.912060932658e+03 
       1.955690687980e-03       7.247278819254e+03 
       2.056441485735e-03       7.585884938902e+03 
       2.159134493623e-03       7.927047209452e+03 
       2.263606371501e-03       8.269993540978e+03 
       2.369704801630e-03       8.614014785142e+03 
       2.477288874697e-03       8.958465023467e+03 
       2.586229062659e-03       9.302760180142e+03 
       2.696406894536e-03       9.646375374897e+03 
       2.807714431530e-03       9.988841537328e+03 
       2.920053617895e-03       1.032974135224e+04 
       3.033335565757e-03       1.066870512041e+04 
       3.147479816553e-03       1.100540633664e+04 
       3.262413609084e-03       1.133955751351e+04 
       3.378071174293e-03       1.167090624865e+04 
       3.494393069385e-03       1.199923234329e+04 
       3.611325558365e-03       1.232434377236e+04 
       3.728820042185e-03       1.264607366270e+04 
       3.846832538931e-03       1.296427739282e+04 
       3.965323212701e-03       1.327883025195e+04 
       4.084255948713e-03       1.358962528080e+04 
       4.203597971497e-03       1.389657137932e+04 
       4.323319502750e-03       1.419959172048e+04 
       4.443393455336e-03       1.449862213300e+04 
       4.563795159974e-03       1.479360973338e+04 
       4.684502121346e-03       1.508451184931e+04 
       4.805493800547e-03       1.537129484581e+04 
       4.926751421058e-03       1.565393313321e+04 
       5.048257795685e-03       1.593240820927e+04 
       5.169997172124e-03       1.620670589805e+04 
       5.291955095089e-03       1.647682002663e+04 
       5.414118283138e-03       1.674275013775e+04 
       5.536474518534e-03       1.700449888560e+04 
       5.659012548684e-03       1.726207225884e+04 
       5.781721997845e-03       1.751547981279e+04 
       5.904593287947e-03       1.776473405277e+04 
       6.027617567513e-03       1.800984990139e+04 
       6.150786647784e-03       1.825084474267e+04 
       6.274092945242e-03       1.848773807621e+04 
       6.397529429832e-03       1.872055131050e+04 
       6.521089578271e-03       1.894930759958e+04 
       6.644767331888e-03       1.917403162074e+04 
       6.768557058502e-03       1.939474949674e+04 
       6.892453517931e-03       1.961148869685e+04 
       7.016451830727e-03       1.982427754128e+04 
       7.140547449819e-03       2.003314527693e+04 
       7.264736134753e-03       2.023812230496e+04 
       7.389013928273e-03       2.043923912859e+04 
       7.513377134992e-03       2.063652713842e+04 
       7.637822301968e-03       2.083001792431e+04 
       7.762346200971e-03       2.101974355471e+04 
       7.886945812296e-03       2.120573599198e+04 
       8.011618309952e-03       2.138802804290e+04 
       8.136361048121e-03       2.156665185660e+04 
       8.261171548744e-03       2.174164025217e+04 
       8.386047490135e-03       2.191302621536e+04 
       8.510986696537e-03       2.208084257368e+04 
       8.635987128520e-03       2.224512228647e+04 
       8.761046874156e-03       2.240589857390e+04 
       8.886164140890e-03       2.256320476010e+04 
       9.011337248057e-03       2.271707415987e+04 
       9.136564619980e-03       2.286754015633e+04 
       9.261844779606e-03       2.301463603052e+04 
       9.387176342618e-03       2.315839507301e+04 
       9.512558012010e-03       2.329885049405e+04 
       9.637988573055e-03       2.343603541906e+04 
       9.763466888659e-03       2.356998273612e+04 
       9.888991895053e-03       2.370072527995e+04 
       1.001456259780e-02       2.382829543753e+04 
       1.014017806810e-02       2.395272563623e+04 
       1.026583743937e-02       2.407404788721e+04 
       1.039153990402e-02       2.419229410339e+04 
       1.051728471054e-02       2.430749606852e+04 
       1.064307116073e-02       2.441968554027e+04 
       1.076889860715e-02       2.452889372772e+04 
       1.089476645076e-02       2.463515180039e+04 
       1.102067413867e-02       2.473849101152e+04 
       1.114662116215e-02       2.483894268490e+04 
       1.127260705466e-02       2.493653736615e+04 
       1.139863139013e-02       2.503130587854e+04 
       1.152469378125e-02       2.512327925920e+04 
       1.165079387797e-02       2.521248738537e+04 
       1.177693136605e-02       2.529896100580e+04 
       1.190310596572e-02       2.538272999783e+04 
       1.202931743047e-02       2.546382396652e+04 
       1.215556554588e-02       2.554227291724e+04 
       1.228185012854e-02       2.561810537435e+04 
       1.240817102506e-02       2.569135113507e+04 
