# Matter power spectrum P(k) at redshift z=0
# for k=1.02968e-05 to 1.74227 h/Mpc,
# number of wavenumbers equal to 571
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.029678462499e-05       4.020782909847e+01 
       2.294100135435e-05       8.995627598439e+01 
       3.562816791460e-05       1.397889563727e+02 
       4.839117448692e-05       1.898982593046e+02 
       6.126343646197e-05       2.404254016089e+02 
       7.427918158426e-05       2.915066062664e+02 
       8.747374596905e-05       3.432806254834e+02 
       1.008838827959e-04       3.958906619985e+02 
       1.145480875130e-04       4.494863437751e+02 
       1.285069434184e-04       5.042250092915e+02 
       1.428034914956e-04       5.602732109280e+02 
       1.574836283415e-04       6.178082761602e+02 
       1.725965358911e-04       6.770199002334e+02 
       1.881951463591e-04       7.381118117622e+02 
       2.043366453029e-04       8.013037395219e+02 
       2.210830148690e-04       8.668332963592e+02 
       2.385016179683e-04       9.349581257693e+02 
       2.566658221761e-04       1.005958098148e+03 
       2.756556593414e-04       1.080137624093e+03 
       2.955585129606e-04       1.157828007929e+03 
       3.164698200100e-04       1.239389765567e+03 
       3.384937668103e-04       1.325214862764e+03 
       3.617439492778e-04       1.415728677377e+03 
       3.863439563442e-04       1.511391560041e+03 
       4.124278213169e-04       1.612699711743e+03 
       4.401402697669e-04       1.720185135120e+03 
       4.696366749954e-04       1.834414237231e+03 
       5.010826149538e-04       1.955984704286e+03 
       5.346529105223e-04       2.085520181930e+03 
       5.705300185709e-04       2.223662244403e+03 
       6.089016599121e-04       2.371059281852e+03 
       6.499575887004e-04       2.528351960350e+03 
       6.938854623560e-04       2.696155241529e+03 
       7.408658535478e-04       2.875037207474e+03 
       7.910665566774e-04       3.065495498730e+03 
       8.446364708579e-04       3.267932564151e+03 
       9.016994697934e-04       3.482631592450e+03 
       9.623487679107e-04       3.709735134198e+03 
       1.026642330486e-03       3.949228820270e+03 
       1.094599829160e-03       4.200932009970e+03 
       1.166201506452e-03       4.464496908551e+03 
       1.241389101151e-03       4.739412434975e+03 
       1.320068740543e-03       5.024990774971e+03 
       1.402115476663e-03       5.320499275892e+03 
       1.487378978505e-03       5.625074154683e+03 
       1.575689817865e-03       5.937787564251e+03 
       1.666865804990e-03       6.257675969792e+03 
       1.760717921652e-03       6.583765913736e+03 
       1.857055531458e-03       6.915096340877e+03 
       1.955690687980e-03       7.250736633636e+03 
       2.056441485735e-03       7.589800349441e+03 
       2.159134493623e-03       7.931454975341e+03 
       2.263606371501e-03       8.274927725835e+03 
       2.369704801630e-03       8.619508549044e+03 
       2.477288874697e-03       8.964550473764e+03 
       2.586229062659e-03       9.309468278997e+03 
       2.696406894536e-03       9.653735898262e+03 
       2.807714431530e-03       9.996883077569e+03 
       2.920053617895e-03       1.033849135499e+04 
       3.033335565757e-03       1.067818994574e+04 
       3.147479816553e-03       1.101565133457e+04 
       3.262413609084e-03       1.135058719669e+04 
       3.378071174293e-03       1.168274435803e+04 
       3.494393069385e-03       1.201190121724e+04 
       3.611325558365e-03       1.233786432388e+04 
       3.728820042185e-03       1.266046542847e+04 
       3.846832538931e-03       1.297955859276e+04 
       3.965323212701e-03       1.329501785308e+04 
       4.084255948713e-03       1.360673506123e+04 
       4.203597971497e-03       1.391461799031e+04 
       4.323319502750e-03       1.421858874621e+04 
       4.443393455336e-03       1.451858214750e+04 
       4.563795159974e-03       1.481454435508e+04 
       4.684502121346e-03       1.510643179451e+04 
       4.805493800547e-03       1.539420998122e+04 
       4.926751421058e-03       1.567785252827e+04 
       5.048257795685e-03       1.595734018840e+04 
       5.169997172124e-03       1.623265809019e+04 
       5.291955095089e-03       1.650379942168e+04 
       5.414118283138e-03       1.677076314027e+04 
       5.536474518534e-03       1.703355136553e+04 
       5.659012548684e-03       1.729216960136e+04 
       5.781721997845e-03       1.754662696843e+04 
       5.904593287947e-03       1.779693558451e+04 
       6.027617567513e-03       1.804311002879e+04 
       6.150786647784e-03       1.828516738324e+04 
       6.274092945242e-03       1.852312688326e+04 
       6.397529429832e-03       1.875700970643e+04 
       6.521089578271e-03       1.898683880542e+04 
