# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02968e-05 to 1.74227 h/Mpc,
# number of wavenumbers equal to 571
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_ur                  14:t_ncdm[0]             15:t_tot              
       1.029678462499e-05      -2.129033230650e+00      -1.596775432583e+00      -1.596775432611e+00      -2.129033210859e+00      -1.596812306074e+00      -1.596905874359e+00       4.680686765294e-01       4.679484235673e-01       1.182073293091e-07       1.183523985107e-07       1.183524005230e-07       1.182041901510e-07       1.183510262434e-07       1.183523465295e-07 
       2.294100135435e-05      -2.134216684059e+00      -1.600675133693e+00      -1.600675134398e+00      -2.134216192787e+00      -1.600712052195e+00      -1.600805890414e+00       4.680655696181e-01       4.679456767935e-01       5.839038485915e-07       5.874843707744e-07       5.874844209278e-07       5.838262853542e-07       5.874760552467e-07       5.874831996609e-07 
       3.562816791460e-05      -2.143329055641e+00      -1.607570152088e+00      -1.607570156210e+00      -2.143326202333e+00      -1.607607002092e+00      -1.607701453905e+00       4.680600794069e-01       4.679408213729e-01       1.396164639646e-06       1.416950294315e-06       1.416950586299e-06       1.395715430399e-06       1.416923822070e-06       1.416943591660e-06 
       4.839117448692e-05      -2.156361412786e+00      -1.617520187024e+00      -1.617520201070e+00      -2.156351739314e+00      -1.617556604773e+00      -1.617652249121e+00       4.680521687750e-01       4.679338223802e-01       2.543442903099e-06       2.613931945769e-06       2.613932938610e-06       2.541925389148e-06       2.613866024788e-06       2.613909322338e-06 
       6.126343646197e-05      -2.173305165755e+00      -1.630616886026e+00      -1.630616922098e+00      -2.173280449854e+00      -1.630652134462e+00      -1.630749901774e+00       4.680417724805e-01       4.679246181174e-01       4.009237631565e-06       4.189451639860e-06       4.189454186212e-06       4.005378087357e-06       4.189309954744e-06       4.189393926103e-06 
       7.427918158426e-05      -2.194149370071e+00      -1.646985391345e+00      -1.646985469223e+00      -2.194096325127e+00      -1.647018219278e+00      -1.647119524540e+00       4.680288083920e-01       4.679131312916e-01       5.771448269937e-06       6.158562548537e-06       6.158568039216e-06       5.763212205148e-06       6.158288072771e-06       6.158438727994e-06 
       8.747374596905e-05      -2.218877162082e+00      -1.666786610372e+00      -1.666786759938e+00      -2.218775996771e+00      -1.666815086336e+00      -1.666921986206e+00       4.680131664441e-01       4.678992578981e-01       7.801502270490e-06       8.540618113645e-06       8.540628644849e-06       7.785903648860e-06       8.540126436434e-06       8.540381897518e-06 
       1.008838827959e-04      -2.247461020939e+00      -1.690220150331e+00      -1.690220414457e+00      -2.247283821251e+00      -1.690241462530e+00      -1.690356844710e+00       4.679947144376e-01       4.678828729227e-01       1.006324238142e-05       1.135962759514e-05       1.135964616585e-05       1.003614612442e-05       1.135879885473e-05       1.135921353598e-05 
       1.145480875130e-04      -2.279856779242e+00      -1.717528083636e+00      -1.717528521673e+00      -2.279565675200e+00      -1.717538294835e+00      -1.717666110391e+00       4.679732907200e-01       4.678638228904e-01       1.251155891146e-05       1.464470683028e-05       1.464473757870e-05       1.246747911850e-05       1.464337591342e-05       1.464402586664e-05 
       1.285069434184e-04      -2.315996056595e+00      -1.748999576684e+00      -1.749000268727e+00      -2.315541136709e+00      -1.748993320959e+00      -1.749138872174e+00       4.679487058547e-01       4.678419273571e-01       1.509075565714e-05       1.843063626846e-05       1.843068475821e-05       1.502265497683e-05       1.842858057415e-05       1.842957058488e-05 
       1.428034914956e-04      -2.355776903778e+00      -1.784976550714e+00      -1.784977602852e+00      -2.355093843728e+00      -1.784946654541e+00      -1.785116955215e+00       4.679207385605e-01       4.678169746064e-01       1.773264644373e-05       2.275854110511e-05       2.275861467415e-05       1.763174640714e-05       2.275546535616e-05       2.275693818937e-05 
       1.574836283415e-04      -2.399052317762e+00      -1.825860508383e+00      -1.825862059211e+00      -2.398059696646e+00      -1.825797514179e+00      -1.826001743590e+00       4.678891315403e-01       4.677887171561e-01       2.035439345179e-05       2.767671167815e-05       2.767681986629e-05       2.021001177647e-05       2.767222887006e-05       2.767437745638e-05 
       1.725965358911e-04      -2.445616288198e+00      -1.872120702182e+00      -1.872122930895e+00      -2.444212579226e+00      -1.872012266523e+00      -1.872262344041e+00       4.678535893613e-01       4.677568692131e-01       2.285612607476e-05       3.324158615695e-05       3.324174123154e-05       2.265556572566e-05       3.323519330460e-05       3.323827709520e-05 
       1.881951463591e-04      -2.495187100956e+00      -1.924303876727e+00      -1.924307013217e+00      -2.493247347810e+00      -1.924134006302e+00      -1.924445322722e+00       4.678137755765e-01       4.677211032253e-01       2.511842606877e-05       3.951892221740e-05       3.951913982107e-05       2.484695315927e-05       3.950996977176e-05       3.951433630284e-05 
       2.043366453029e-04      -2.547387619061e+00      -1.983045850568e+00      -1.983050188057e+00      -2.544759845562e+00      -1.982793928384e+00      -1.983186280515e+00       4.677693046360e-01       4.676810410630e-01       2.699982439766e-05       4.658518812669e-05       4.658548807647e-05       2.664078863084e-05       4.657284096058e-05       4.657895468155e-05 
       2.210830148690e-04      -2.601722432296e+00      -2.049085213524e+00      -2.049091124409e+00      -2.598223894063e+00      -2.048724754170e+00      -2.049223542891e+00       4.677197403116e-01       4.676362514956e-01       2.833456517418e-05       5.452921071818e-05       5.452961799199e-05       2.786973915310e-05       5.451239813131e-05       5.452087907619e-05 
       2.385016179683e-04      -2.657552069571e+00      -2.123279525199e+00      -2.123287480918e+00      -2.652965545661e+00      -2.122776577680e+00      -2.123414349946e+00       4.676645884126e-01       4.675862417014e-01       2.893102886418e-05       6.345412192680e-05       6.345466788062e-05       2.834127208994e-05       6.343147354289e-05       6.344314912321e-05 
       2.566658221761e-04      -2.714064901884e+00      -2.206624399723e+00      -2.206634995666e+00      -2.708135357303e+00      -2.205935491795e+00      -2.206753931813e+00       4.676032913604e-01       4.675304503294e-01       2.857141315996e-05       7.347965297130e-05       7.348037683938e-05       2.783780416461e-05       7.344941638699e-05       7.346539078343e-05 
       2.756556593414e-04      -2.770248107246e+00      -2.300275934836e+00      -2.300289921717e+00      -2.762680243550e+00      -2.299345420408e+00      -2.300397927968e+00       4.675352218157e-01       4.674682392587e-01       2.701353404284e-05       8.474483024134e-05       8.474578098199e-05       2.611915984399e-05       8.470476444039e-05       8.472651218582e-05 
       2.955585129606e-04      -2.824860246820e+00      -2.405576991258e+00      -2.405595314384e+00      -2.815317722671e+00      -2.404333616763e+00      -2.405688656729e+00       4.674596755376e-01       4.673988841967e-01       2.399595895478e-05       9.741113338837e-05       9.741237194772e-05       2.292860305472e-05       9.735837093723e-05       9.738786266604e-05 
       3.164698200100e-04      -2.876409611804e+00      -2.524087849775e+00      -2.524111698344e+00      -2.864517060921e+00      -2.522440299982e+00      -2.524185763624e+00       4.673758656116e-01       4.673215662396e-01       1.924808776717e-05       1.116661798411e-04       1.116677819184e-04       1.800411027516e-05       1.115970478470e-04       1.116369197283e-04 
       3.384937668103e-04      -2.923144783406e+00      -2.657621802950e+00      -2.657652671672e+00      -2.908494205263e+00      -2.655452908523e+00      -2.657701806797e+00       4.672829142561e-01       4.672353606386e-01       1.250722828332e-05       1.277280008456e-04       1.277300602527e-04       1.109697117506e-05       1.276377882385e-04       1.276915696782e-04 
