# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
    2       1.531376041843e-10       6.041916150081e-06       9.436045528053e-07      -1.109055028414e-06      -5.471598205114e-07       2.081363005279e-07       7.596665493858e-06      -8.169249081115e-09      -1.266373588701e-06      -3.122520330035e-07       5.633798138415e-06       1.275586187647e-07      -1.338793832961e-07       2.986886312598e-06       5.557911527287e-07       6.573897198116e-07 
    3       1.441511484005e-10       1.337611547634e-05       2.568433034896e-06      -1.756988379269e-06      -7.926108386661e-07       8.308669192963e-07       1.529996698337e-05       3.020521535754e-07      -2.191358512215e-06      -3.064843859789e-07       1.128130670773e-05       4.219493151535e-07      -4.806945229582e-08       6.012683518061e-06       1.241812652749e-06       1.460019672393e-06 
    4       1.344592855076e-10       2.442542316546e-05       5.376782068428e-06      -2.280992393205e-06      -9.537526601238e-07       1.911446903548e-06       2.579692736479e-05       1.096497107688e-06      -3.118787259018e-06      -5.603988408694e-08       1.886257120094e-05       1.012200777904e-06       2.698599694864e-07       1.009868641916e-05       2.288793897092e-06       2.656921408499e-06 
    5       1.289915832548e-10       3.959358776685e-05       9.600259024970e-06      -2.608113695039e-06      -1.020831492334e-06       3.486191941651e-06       3.929203671148e-05       2.583331615694e-06      -3.952049926092e-06       5.031845185710e-07       2.844972834557e-05       2.017081379221e-06       9.029086627491e-07       1.529556838637e-05       3.766447845901e-06       4.305314762367e-06 
    6       1.274318390203e-10       5.911062307777e-05       1.541777537962e-05      -2.690817595834e-06      -9.934946980138e-07       5.566499917503e-06       5.599691831153e-05       4.946962597704e-06      -4.630512072115e-06       1.413674090854e-06       4.013582672337e-05       3.549612391298e-06       1.918347294290e-06       2.165775367391e-05       5.740194620826e-06       6.455625731556e-06 
    7       1.223688493740e-10       8.305529837949e-05       2.296171524078e-05      -2.497220409286e-06      -8.746822634732e-07       8.149688513498e-06       7.610599364579e-05       8.340163738835e-06      -5.118998942454e-06       2.704684580294e-06       5.401623947183e-05       5.715787938943e-06       3.370325487684e-06       2.925447410242e-05       8.270211482913e-06       9.154233857131e-06 
    8       1.138988044403e-10       1.113851297779e-04       3.232588999152e-05      -2.004669031913e-06      -6.682395616182e-07       1.122237452047e-05       9.978372647009e-05       1.288450778307e-05      -5.401071526482e-06       4.396194876775e-06       7.018776724778e-05       8.599202507357e-06       5.301147434584e-06       3.813788599188e-05       1.140980862694e-05       1.244249219651e-05 
    9       1.168132568515e-10       1.439620361051e-04       4.357114412756e-05      -1.196560165135e-06      -3.781433951239e-07       1.476329118517e-05       1.271580663140e-04       1.867290677033e-05      -5.469247412408e-06       6.501320484544e-06       8.873899019861e-05       1.228441929639e-05       7.743924771114e-06       4.838273043717e-05       1.520578687137e-05       1.635654987884e-05 
   10       1.196818679623e-10       1.805741297183e-04       5.672959109381e-05      -6.073207675731e-08      -8.291047545067e-09       1.874558224603e-05       1.583178272755e-04       2.577265714993e-05      -5.324752871082e-06       9.027791226524e-06       1.097428889487e-04       1.681980492788e-05       1.072338727003e-05       6.002777687931e-05       1.969737818412e-05       2.092760223191e-05 
   11       1.205268850076e-10       2.209543421361e-04       7.180809879923e-05       1.411396956023e-06       4.375316426879e-07       2.313859310581e-05       1.933126613912e-04       3.423030249501e-05      -4.970228388874e-06       1.197866869961e-05       1.332698870998e-04       2.226817412421e-05       1.425794374878e-05       7.313761062950e-05       2.491822009355e-05       2.618205014923e-05 
   12       1.130945263988e-10       2.647962990076e-04       8.879129847991e-05       3.225327916120e-06       9.556208232249e-07       2.790929240486e-05       2.321543611993e-04       4.407245436804e-05      -4.411620258626e-06       1.535315453901e-05       1.593566092572e-04       2.865459809770e-05       1.836033872744e-05       8.774768845876e-05       3.089493795269e-05       3.214187096601e-05 
   13       1.085107224224e-10       3.117677828436e-04       1.076442762205e-04       5.383785915148e-06       1.542315327776e-06       3.302340111371e-05       2.748193023519e-04       5.531159668786e-05      -3.656271856510e-06       1.914675667212e-05       1.880477082694e-04       3.600922653241e-05       2.303803210255e-05       1.038862175619e-04       3.764907322615e-05       3.882482017637e-05 
   14       1.258516286198e-10       3.615220816732e-04       1.283150212817e-04       7.886948071692e-06       2.194001774203e-06       3.844628992456e-05       3.212510752224e-04       6.794529379332e-05      -2.709169727776e-06       2.335189426555e-05       2.193500504408e-04       4.435892063174e-05       2.829508661153e-05       1.216056615079e-04       4.519708238952e-05       4.624473700997e-05 
   15       1.211423883024e-10       4.137075428497e-04       1.507366694202e-04       1.073264967627e-05       2.907146104917e-06       4.414369304693e-05       3.713635983448e-04       8.196005988419e-05      -1.580550621808e-06       2.795818217911e-05       2.532662074421e-04       5.368959780032e-05       3.413072242509e-05       1.408877492112e-04       5.354958142558e-05       5.441186847488e-05 
   16       1.196686702621e-10       4.679755806029e-04       1.748295933462e-04       1.391654981280e-05       3.678265193849e-06       5.008226440800e-05       4.250442495558e-04       9.733338857886e-05      -2.750692416112e-07       3.295254104933e-05       2.897925441291e-04       6.403417892349e-05       4.054159237088e-05       1.617837515851e-04       6.271448394201e-05       6.333296510394e-05 
   17       1.178196496948e-10       5.239872329701e-04       2.005033857489e-04       1.743227846567e-05       4.503888975119e-06       5.622999546624e-05       4.821567856292e-04       1.140318664396e-04       1.198964842512e-06       3.831995078587e-05       3.288817285833e-04       7.536420357476e-05       4.752129221484e-05       1.842802385689e-04       7.269387770143e-05       7.301171401860e-05 
   18       1.295868962300e-10       5.814193596867e-04       2.276588534620e-04       2.127173821377e-05       5.380690938541e-06       6.255672617329e-05       5.425441571607e-04       1.320174847826e-04       2.833848193611e-06       4.404339850057e-05       3.705103422202e-04       8.768119654751e-05       5.506005818238e-05       2.083761414127e-04       8.348713916379e-05       8.344879059643e-05 
   19       1.426835972514e-10       6.399636974895e-04       2.561888041201e-04       2.542447579056e-05       6.305105184546e-06       6.903336242658e-05       6.060334297812e-04       1.512445257176e-04       4.621219497262e-06       5.010388930206e-05       4.146270337091e-04       1.009700295415e-04       6.314585910207e-05       2.340623984213e-04       9.508995431199e-05       9.464216813981e-05 
   20       1.344555307149e-10       6.993408361059e-04       2.859813215386e-04       2.987962919957e-05       7.274338890701e-06       7.563414589373e-05       6.724339372353e-04       1.716613899577e-04       6.554171982696e-06       5.648181298915e-05       4.611568839984e-04       1.152018540611e-04       7.176510513776e-05       2.613187119645e-04       1.074944211121e-04       1.065872864384e-04 
   21       1.166548094211e-10       7.592889702139e-04       3.169192060072e-04       3.462404717729e-05       8.285013573324e-06       8.233421513620e-05       7.415448990927e-04       1.932121649695e-04       8.625108371864e-06       6.315575860030e-05       5.100250746743e-04       1.303567806537e-04       8.090172131188e-05       2.901310535466e-04       1.206902216574e-04       1.192771965993e-04 
   22       1.120581992039e-10       8.195781906764e-04       3.488832565627e-04       3.964400944425e-05       9.334176241570e-06       8.911176235185e-05       8.131541693808e-04       2.158378652976e-04       1.082750537803e-05       7.010384711738e-05       5.611500019977e-04       1.464163062123e-04       9.053811736974e-05       3.204832123383e-04       1.346644642560e-04       1.327027771038e-04 
   23       1.206340574938e-10       8.799986543368e-04       3.817520661322e-04       4.492418748765e-05       1.041878137479e-05       9.594626350554e-05       8.870428919527e-04       2.394759235765e-04       1.315311032037e-05       7.730324293424e-05       6.144453350334e-04       1.633551001726e-04       1.006546483649e-04       3.523469404820e-04       1.494016449963e-04       1.468528887218e-04 
   24       1.334185504715e-10       9.403738487363e-04       4.154049512795e-04       5.044893559648e-05       1.153624441394e-05       1.028201931978e-04       9.629856257194e-04       2.640617456658e-04       1.559403962760e-05       8.473111506454e-05       6.698164242911e-04       1.811420595041e-04       1.112305792002e-04       3.856838113433e-04       1.648839060220e-04       1.617145766927e-04 
   25       1.412213033487e-10       1.000546167185e-03       4.497213435458e-04       5.620138161902e-05       1.268371368167e-05       1.097171135949e-04       1.040754458395e-03       2.895273448110e-04       1.814113812931e-05       9.236401624278e-05       7.271563248068e-04       1.997328748190e-04       1.222439724097e-04       4.204415660519e-04       1.810911030789e-04       1.772731457351e-04 
   26       1.363994118208e-10       1.060390657806e-03       4.845838642709e-04       6.216451745384e-05       1.385867360567e-05       1.166233604498e-04       1.120119638403e-03       3.158036522608e-04       2.078604417499e-05       1.001788269237e-04       7.863496214107e-04       2.190800374768e-04       1.336722622885e-04       4.565632016659e-04       1.980012802403e-04       1.935123886666e-04 
   27       1.253117306553e-10       1.119801859794e-03       5.198782341132e-04       6.832044785521e-05       1.505855938264e-05       1.235265959729e-04       1.200852837924e-03       3.428203863259e-04       2.352176148230e-05       1.081523424517e-04       8.472812926525e-04       2.391528581013e-04       1.454916616037e-04       4.940127807641e-04       2.155913825944e-04       2.104146365611e-04 
   28       1.182598657899e-10       1.178703450754e-03       5.554953998108e-04       7.465127443118e-05       1.628110081719e-05       1.304168984195e-04       1.282728277771e-03       3.705073128003e-04       2.634233359938e-05       1.162619824420e-04       9.098331905383e-04       2.599245352809e-04       1.576778707341e-04       5.327573028322e-04       2.338370847766e-04       2.279609771462e-04 
   29       1.162993888207e-10       1.237025320633e-03       5.913292732859e-04       8.113828293220e-05       1.752373717507e-05       1.372844424425e-04       1.365525382943e-03       3.987923627565e-04       2.923935538487e-05       1.244851026022e-04       9.738846072282e-04       2.813546602412e-04       1.702054961106e-04       5.727443973748e-04       2.527122339057e-04       2.461312163317e-04 
