# Matter power spectrum P(k) at redshift z=0
# for k=1.03246e-05 to 8.71643 h/Mpc,
# number of wavenumbers equal to 619
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.032457087446e-05       6.732753786519e+04 
       2.270936256741e-05       5.017395089526e+03 
       3.513510792130e-05       8.793822896469e+02 
       4.763270990680e-05       1.549164039358e+02 
       6.023354990453e-05       8.908427485856e+00 
       7.296974645801e-05       9.739231043137e+00 
       8.587442176985e-05       5.607491906233e+01 
       9.898197923523e-05       1.176484239082e+02 
       1.123283953328e-04       1.843701853187e+02 
       1.259515292234e-04       2.523881754978e+02 
       1.398914534206e-04       3.205152611926e+02 
       1.541908088747e-04       3.885054223399e+02 
       1.688951877135e-04       4.563394566080e+02 
       1.840535466704e-04       5.243597506220e+02 
       1.997186538390e-04       5.928391699234e+02 
       2.159475707457e-04       6.621608851007e+02 
       2.328021707201e-04       7.326313552141e+02 
       2.503496930405e-04       8.046654318975e+02 
       2.686633301603e-04       8.785844310885e+02 
       2.878228422860e-04       9.547817820652e+02 
       3.079151894253e-04       1.033656020247e+03 
       3.290351654966e-04       1.115584006809e+03 
       3.512860118978e-04       1.201046434296e+03 
       3.747799788429e-04       1.290455452789e+03 
       3.996387916451e-04       1.384310869739e+03 
       4.259939660340e-04       1.483117344905e+03 
       4.539869020099e-04       1.587448860837e+03 
       4.837686706971e-04       1.697868244969e+03 
       5.154993950485e-04       1.815004063273e+03 
       5.493471160116e-04       1.939516475560e+03 
       5.854860349954e-04       2.072085072398e+03 
       6.240940363009e-04       2.213418938563e+03 
       6.653494250696e-04       2.364238530210e+03 
       7.094268718262e-04       2.525264468106e+03 
       7.564926354734e-04       2.697198919038e+03 
       8.066992389053e-04       2.880711815323e+03 
       8.601798840733e-04       3.076404190160e+03 
       9.170429972004e-04       3.284801904829e+03 
       9.773673650885e-04       3.506310147879e+03 
       1.041198335401e-03       3.741202713093e+03 
       1.108545491160e-03       3.989585004312e+03 
       1.179382072442e-03       4.251394775384e+03 
       1.253646226271e-03       4.526358847319e+03 
       1.331243955224e-03       4.813991211200e+03 
       1.412053448754e-03       5.113684415459e+03 
       1.495930354334e-03       5.424623088803e+03 
       1.582713496697e-03       5.745813024831e+03 
       1.672230580614e-03       6.076174966771e+03 
       1.764303497217e-03       6.414496457727e+03 
       1.858752968889e-03       6.759536885086e+03 
       1.955402387132e-03       7.110044857643e+03 
       2.054080802247e-03       7.464780925970e+03 
       2.154625102492e-03       7.822590868139e+03 
       2.256881471335e-03       8.182368390473e+03 
       2.360706237379e-03       8.543123537115e+03 
       2.465966238318e-03       8.904018623815e+03 
       2.572538814128e-03       9.264280781434e+03 
       2.680311531147e-03       9.623308561891e+03 
       2.789181722001e-03       9.980554368356e+03 
       2.899055909246e-03       1.033564730705e+04 
       3.009849164939e-03       1.068821370987e+04 
       3.121484444798e-03       1.103797102762e+04 
       3.233891924499e-03       1.138474899078e+04 
       3.347008356896e-03       1.172830567255e+04 
       3.460776462219e-03       1.206856256444e+04 
       3.575144358294e-03       1.240529676149e+04 
       3.690065034234e-03       1.273846534692e+04 
       3.805495868495e-03       1.306791768859e+04 
       3.921398190502e-03       1.339357599269e+04 
       4.037736883923e-03       1.371537203334e+04 
       4.154480029032e-03       1.403319630930e+04 
       4.271598581237e-03       1.434705731076e+04 
       4.389066082739e-03       1.465680572985e+04 
       4.506858404288e-03       1.496255622369e+04 
       4.624953514138e-03       1.526410910985e+04 
       4.743331271448e-03       1.556157373125e+04 
       4.861973241596e-03       1.585482656414e+04 
       4.980862531074e-03       1.614400331720e+04 
       5.099983639857e-03       1.642900046904e+04 
       5.219322329329e-03       1.670977346999e+04 
       5.338865504063e-03       1.698646908813e+04 
       5.458601105936e-03       1.725899291689e+04 
       5.578518019188e-03       1.752730676508e+04 
       5.698605985250e-03       1.779168250149e+04 
       5.818855526237e-03       1.805190705638e+04 
       5.939257876163e-03       1.830807395175e+04 
       6.059804919043e-03       1.856016781112e+04 
       6.180489133113e-03       1.880822514388e+04 
       6.301303540524e-03       1.905227621044e+04 
       6.422241661910e-03       1.929235238032e+04 
       6.543297475323e-03       1.952851176455e+04 
       6.664465379064e-03       1.976068429447e+04 
       6.785740157999e-03       1.998897034020e+04 
       6.907116953014e-03       2.021336781492e+04 
       7.028591233269e-03       2.043397157090e+04 
       7.150158770971e-03       2.065077585661e+04 
       7.271815618424e-03       2.086381336336e+04 
       7.393558087106e-03       2.107307394013e+04 
       7.515382728588e-03       2.127860039943e+04 
       7.637286317118e-03       2.148060486125e+04 
       7.759265833692e-03       2.167878730601e+04 
       7.881318451484e-03       2.187324612555e+04 
       8.003441522503e-03       2.206411928398e+04 
       8.125632565357e-03       2.225155375549e+04 
       8.247889254024e-03       2.243533996068e+04 
       8.370209407540e-03       2.261570847297e+04 
       8.492590980518e-03       2.279256453325e+04 
       8.615032054425e-03       2.296599921054e+04 
       8.737530829540e-03       2.313603173842e+04 
       8.860085617553e-03       2.330271830142e+04 
       8.982694834732e-03       2.346590244338e+04 
