# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_vf             15:(.)p_vf               16:(.)p_prime_vf         17:phi_vf                18:rQ_vf                 19:(.)rho_cdm_vf         20:(.)rho_tot            21:(.)p_tot              22:(.)p_tot_prime        23:gr.fac. D             24:gr.fac. f          
       1.000000000000e+14       8.131723523138e-26       4.985849955119e-09       2.005456632659e+22       1.443125543361e+04       1.443125543361e-10       1.443125543361e+18       2.878896804784e-09       2.751560535470e+44       2.488998175392e+33       1.335180067264e+34       1.270295769850e+44       4.021856305478e+44       5.282638769168e-20      -5.282920780306e-20      -9.081144423734e-12       4.471777733589e-24       9.998131525155e-01      -1.173700382534e-20       4.021856305478e+44       1.340618768440e+44      -1.075421120414e+53       4.485180087609e-06       2.000000000000e+00 
       9.893085837570e+13       8.308431643661e-26       5.040419637226e-09       1.962803525916e+22       1.443125543361e+04       1.458721340394e-10       1.427696487486e+18       2.910008922871e-09       2.635761930281e+44       2.410015912154e+33       1.292811396775e+34       1.216835750915e+44       3.852597681350e+44       5.331534362108e-20      -5.331819419049e-20      -9.067210404448e-12       4.523575382924e-24       9.998128665939e-01      -1.184563700872e-20       3.852597681350e+44       1.284199227065e+44      -1.019148448623e+53       4.581602310568e-06       1.957908951181e+00 
       9.787314738953e+13       8.488979738563e-26       5.094989319332e-09       1.921057587887e+22       1.443125543361e+04       1.474485680549e-10       1.412432390070e+18       2.941457267227e-09       2.524836674885e+44       2.333539957667e+33       1.251787192311e+34       1.165625580947e+44       3.690462255980e+44       5.380882525866e-20      -5.381170662889e-20      -9.053297765384e-12       4.575973014382e-24       9.998125793347e-01      -1.195527563841e-20       3.690462255980e+44       1.230154085277e+44      -9.658203104011e+52       4.678024533516e-06       1.917553041713e+00 
       9.682674483178e+13       8.673451260394e-26       5.149559001438e-09       1.880199524431e+22       1.443125543361e+04       1.490420385265e-10       1.397331487472e+18       2.973245472049e-09       2.418579675807e+44       2.259490780358e+33       1.212064790536e+34       1.116570575721e+44       3.535150251672e+44       5.430687450203e-20      -5.430978701131e-20      -9.039406473736e-12       4.628977578551e-24       9.998122912852e-01      -1.206592902853e-20       3.535150251672e+44       1.178383417176e+44      -9.152826295756e+52       4.774446756458e-06       1.878827146122e+00 
       9.579152979933e+13       8.861931482487e-26       5.205947672948e-09       1.840210451764e+22       1.443125543361e+04       1.506527295664e-10       1.382392034910e+18       3.005377210823e-09       2.316794470871e+44       2.187791372395e+33       1.173602881928e+34       1.069580035772e+44       3.386374506782e+44       5.480953363555e-20      -5.481247761858e-20      -9.025536496749e-12       4.682596106421e-24       9.998120029095e-01      -1.217760657838e-20       3.386374506782e+44       1.128791502214e+44      -8.673893921891e+52       4.870868979402e-06       1.841634462244e+00 
       9.476738268169e+13       9.054507512335e-26       5.262336344458e-09       1.801071887733e+22       1.443125543361e+04       1.522808272766e-10       1.367612306254e+18       3.037856195906e-09       2.219292865953e+44       2.118367169600e+33       1.136361467823e+34       1.024567078695e+44       3.243859944783e+44       5.531684532553e-20      -5.531982112288e-20      -9.011687801719e-12       4.736835709416e-24       9.998117140618e-01      -1.229031776476e-20       3.243859944783e+44       1.081286648216e+44      -8.220022246364e+52       4.967291202343e-06       1.805885704713e+00 
       9.375418514718e+13       9.251268354292e-26       5.318725015968e-09       1.762765743273e+22       1.443125543361e+04       1.539265197703e-10       1.352990593829e+18       3.070686179977e-09       2.125894587024e+44       2.051145973909e+33       1.100301818816e+34       9.814484785019e+43       3.107343065656e+44       5.582885263543e-20      -5.583186059135e-20      -8.997860355991e-12       4.791703581579e-24       9.998114247428e-01      -1.240407215449e-20       3.107343065656e+44       1.035781021842e+44      -7.789899938734e+52       5.063713425284e-06       1.771498388655e+00 
       9.275182012925e+13       9.452304949009e-26       5.376932676882e-09       1.725274314046e+22       1.443125543361e+04       1.555899971936e-10       1.338525208218e+18       3.103870956329e-09       2.036426946831e+44       1.986057878284e+33       1.065386434484e+34       9.401445117492e+43       2.976571458707e+44       5.634559902805e-20      -5.634863948977e-20      -8.984054126959e-12       4.847207000355e-24       9.998111349967e-01      -1.251887940362e-20       2.976571458707e+44       9.921904861936e+43      -7.382284285463e+52       5.160135648225e-06       1.738396194401e+00 
       9.176017181296e+13       9.657710219511e-26       5.433321348391e-09       1.688580272260e+22       1.443125543361e+04       1.572714517474e-10       1.324214478065e+18       3.137414359271e-09       1.950724525616e+44       1.923035194018e+33       1.031579004390e+34       9.005788101290e+43       2.851303335867e+44       5.686712836842e-20      -5.687020168624e-20      -8.970269082070e-12       4.903353327486e-24       9.998108448663e-01      -1.263474925759e-20       2.851303335867e+44       9.504344452482e+43      -6.995997599456e+52       5.256557871165e-06       1.706508402067e+00 
       9.077912562158e+13       9.867579097987e-26       5.493347998708e-09       1.652666658660e+22       1.443125543361e+04       1.589710777097e-10       1.310056749885e+18       3.171320264416e-09       1.868628865258e+44       1.862012380337e+33       9.988443703192e+33       8.626782192712e+43       2.731307084648e+44       5.739348492638e-20      -5.739659145489e-20      -8.956505188818e-12       4.960150009856e-24       9.998105543184e-01      -1.275169155078e-20       2.731307084648e+44       9.104356948430e+43      -6.629923817480e+52       5.352980094102e-06       1.675769387306e+00 
       8.980856820338e+13       1.008200857484e-25       5.551555659622e-09       1.617516874689e+22       1.443125543361e+04       1.606890714584e-10       1.296050387870e+18       3.205592589233e-09       1.789988176302e+44       1.802925976245e+33       9.671484897155e+33       8.263726634854e+43       2.616360839903e+44       5.792471338137e-20      -5.792785347966e-20      -8.942762414749e-12       5.017604580588e-24       9.998102633115e-01      -1.286971620846e-20       2.616360839903e+44       8.721202799293e+43      -6.283005275617e+52       5.449402317035e-06       1.646118170433e+00 
       8.884838741853e+13       1.030109775370e-25       5.611582309939e-09       1.583114674815e+22       1.443125543361e+04       1.624256314932e-10       1.282193773701e+18       3.240235293596e-09       1.714657057307e+44       1.745714534524e+33       9.364584002813e+33       7.915950161962e+43       2.506252073614e+44       5.846085882702e-20      -5.846403285808e-20      -8.929040727457e-12       5.075724660134e-24       9.998099718433e-01      -1.298883324840e-20       2.506252073614e+44       8.354173578344e+43      -5.954239653457e+52       5.545824539965e-06       1.617498012609e+00 
       8.789847232612e+13       1.052494789722e-25       5.673427949660e-09       1.549444159027e+22       1.443125543361e+04       1.641809584593e-10       1.268485306362e+18       3.275252380227e-09       1.642496226007e+44       1.690318557835e+33       9.067421856961e+33       7.582809758295e+43       2.400777201944e+44       5.900196677475e-20      -5.900517510512e-20      -8.915340094588e-12       5.134517957260e-24       9.998096799365e-01      -1.310905278149e-20       2.400777201944e+44       8.002590672787e+43      -5.642677078178e+52       5.642246762891e-06       1.589856053482e+00 
       8.695871317136e+13       1.075366246228e-25       5.733454599977e-09       1.516489765484e+22       1.443125543361e+04       1.659552551700e-10       1.254923401954e+18       3.310647895041e-09       1.573372261788e+44       1.636680436839e+33       8.779689424261e+33       7.263689469244e+43       2.299741208817e+44       5.954808315669e-20      -5.955132615700e-20      -8.901660483834e-12       5.193992269964e-24       9.998093875818e-01      -1.323038501168e-20       2.299741208817e+44       7.665804029041e+43      -5.347417380170e+52       5.738668985812e-06       1.563142985412e+00 
       8.602900137289e+13       1.098734715312e-25       5.795300239697e-09       1.484236263319e+22       1.443125543361e+04       1.677487266307e-10       1.241506493511e+18       3.346425927665e-09       1.507157359005e+44       1.584744390290e+33       8.501087475851e+33       6.957999262462e+43       2.202957285352e+44       6.009925433003e-20      -6.010253237516e-20      -8.888001862942e-12       5.254155486563e-24       9.998090947648e-01      -1.335284023728e-20       2.202957285352e+44       7.343190950837e+43      -5.067607492254e+52       5.835091208730e-06       1.537312759907e+00 
       8.510922951025e+13       1.122610997373e-25       5.858964868821e-09       1.452668745608e+22       1.443125543361e+04       1.695615800619e-10       1.228233030820e+18       3.382590611948e-09       1.443729090674e+44       1.534456407022e+33       8.231326278169e+33       6.665173936938e+43       2.110246484466e+44       6.065552708120e-20      -6.065884055014e-20      -8.874364199702e-12       5.315015586762e-24       9.998088014818e-01      -1.347642885207e-20       2.110246484466e+44       7.034154947893e+43      -4.802438984992e+52       5.931513431644e-06       1.512322322709e+00 
       8.419929131143e+13       1.147006127935e-25       5.922629497945e-09       1.421772622471e+22       1.443125543361e+04       1.713940249239e-10       1.215101480244e+18       3.419146126454e-09       1.382970182115e+44       1.485764189782e+33       7.970125291634e+33       6.384672077979e+43       2.021437390007e+44       6.121694863003e-20      -6.122029790558e-20      -8.860747461960e-12       5.376580642736e-24       9.998085077485e-01      -1.360116134638e-20       2.021437390007e+44       6.738124633042e+43      -4.551145730963e+52       6.027935654552e-06       1.488131374310e+00 
       8.329908164066e+13       1.171931381229e-25       5.986294127069e-09       1.391533614335e+22       1.443125543361e+04       1.732462729405e-10       1.202110324541e+18       3.456096694799e-09       1.324768294116e+44       1.438617100842e+33       7.717212878903e+33       6.115975056167e+43       1.936365799824e+44       6.178356663255e-20      -6.178695210222e-20      -8.847151617606e-12       5.438858820066e-24       9.998082135311e-01      -1.372704830677e-20       1.936365799824e+44       6.454552665776e+43      -4.313001691264e+52       6.124357877455e-06       1.464702153155e+00 
       8.240849648618e+13       1.197398277597e-25       6.049958756194e-09       1.361937745333e+22       1.443125543361e+04       1.751185381234e-10       1.189258062692e+18       3.493446586353e-09       1.269015815230e+44       1.392966109339e+33       7.472326022381e+33       5.858586068447e+43       1.854874422164e+44       6.235542918679e-20      -6.235885124195e-20      -8.833576634582e-12       5.501858379015e-24       9.998079188486e-01      -1.385410041870e-20       1.854874422164e+44       6.182914740250e+43      -4.087318817829e+52       6.220780100357e-06       1.441999238858e+00 
       8.152743294829e+13       1.223418587451e-25       6.115442374721e-09       1.332971336844e+22       1.443125543361e+04       1.770110367974e-10       1.176543209723e+18       3.531200116593e-09       1.215609662805e+44       1.348763740283e+33       7.235210050689e+33       5.612029219576e+43       1.776812584848e+44       6.293258483568e-20      -6.293604387188e-20      -8.820022480878e-12       5.565587675498e-24       9.998076237028e-01      -1.398232846623e-20       1.776812584848e+44       5.922708615874e+43      -3.873445065514e+52       6.317202323258e-06       1.419989373603e+00 
       8.065578922741e+13       1.250004337019e-25       6.182744982652e-09       1.304621001170e+22       1.443125543361e+04       1.789239876250e-10       1.163964296540e+18       3.569361647651e-09       1.164451092389e+44       1.305964025187e+33       7.005618373824e+33       5.375848642217e+43       1.702035956694e+44       6.351508257165e-20      -6.351857898849e-20      -8.806489124535e-12       5.630055162236e-24       9.998073281064e-01      -1.411174333343e-20       1.702035956694e+44       5.673453188702e+43      -3.670762508202e+52       6.413624546159e-06       1.398641299540e+00 
       7.979346461238e+13       1.277167813808e-25       6.248228601180e-09       1.276873635350e+22       1.443125543361e+04       1.808576116317e-10       1.151519869754e+18       3.607935588778e-09       1.115445515164e+44       1.264522454263e+33       6.783312226711e+33       5.149607654076e+43       1.630406280652e+44       6.410297184039e-20      -6.410650604175e-20      -8.792976533641e-12       5.695269389837e-24       9.998070320597e-01      -1.424235600488e-20       1.630406280652e+44       5.434687601907e+43      -3.478685553485e+52       6.510046769061e-06       1.377925610717e+00 
       7.894035946874e+13       1.304921572251e-25       6.317350198515e-09       1.249716415105e+22       1.443125543361e+04       1.828121322316e-10       1.139208491514e+18       3.646926396878e-09       1.068502323054e+44       1.224395930129e+33       6.568060420900e+33       4.932887950503e+43       1.561791118182e+44       6.469630254526e-20      -6.469987493935e-20      -8.779484676333e-12       5.761239007956e-24       9.998067355643e-01      -1.437417756686e-20       1.561791118182e+44       5.205970393681e+43      -3.296659250764e+52       6.606468991965e-06       1.357814617911e+00 
       7.809637522728e+13       1.333278439435e-25       6.384652806446e-09       1.223136788907e+22       1.443125543361e+04       1.847877752535e-10       1.127028739344e+18       3.686338577000e-09       1.023534721195e+44       1.185542722997e+33       6.359639104142e+33       4.725288831074e+43       1.496063604378e+44       6.529512505138e-20      -6.529873605093e-20      -8.766013520799e-12       5.827972766420e-24       9.998064386135e-01      -1.450721920810e-20       1.496063604378e+44       4.986878681007e+43      -3.124157687884e+52       6.702891214868e-06       1.338282225164e+00 
